Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Sat 09:48:33	38.4116	-92.3795	↙ 233°	97	3,581	 Level	 FlightAware ADS-B (KCOU)
Sat 09:48:49	38.4070	-92.3872	↙ 233°	96	3,581	 Level	 FlightAware ADS-B (KDMO)
Sat 09:49:08	38.4040	-92.3965	← 273°	92	3,581	 Level	 FlightAware ADS-B (KCOU)
Sat 09:49:27	38.4098	-92.4006	↑ 12°	92	3,581	42 Climbing	 FlightAware ADS-B (KVER)
Sat 09:49:44	38.4167	-92.3958	↑ 12°	89	3,606	 Level	 FlightAware ADS-B (KCOU)
Sat 09:50:02	38.4221	-92.3989	← 303°	82	3,581	-44 Descending	 FlightAware ADS-B (KVER)
Sat 09:50:18	38.4221	-92.4075	← 257°	86	3,581	 Level	 FlightAware ADS-B (KMHL)
Sat 09:50:40	38.4206	-92.4184	← 260°	87	3,581	56 Climbing	 FlightAware ADS-B (KCOU)
Sat 09:51:12	38.4190	-92.4343	← 265°	86	3,631	24 Climbing	 FlightAware ADS-B (KVER)
Sat 09:51:42	38.4184	-92.4503	← 271°	93	3,606	-65 Descending	 FlightAware ADS-B (KCOU)
Sat 09:51:58	38.4186	-92.4589	← 274°	92	3,581	-45 Descending	 FlightAware ADS-B (KVER)
Sat 09:52:15	38.4193	-92.4681	← 276°	91	3,581	-32 Descending	 FlightAware ADS-B (KTBN)
Sat 09:52:45	38.4208	-92.4840	← 279°	91	3,556	-28 Descending	 FlightAware ADS-B (KSZL)
Sat 09:53:08	38.4229	-92.4960	← 285°	90	3,556	34 Climbing	 FlightAware ADS-B (KDMO)
Sat 09:53:29	38.4270	-92.5058	↖ 329°	88	3,581	37 Climbing	 FlightAware ADS-B (KDMO)
Sat 09:53:49	38.4350	-92.5057	↑ 9°	92	3,581	33 Climbing	 FlightAware ADS-B (KTBN)
Sat 09:54:14	38.4459	-92.5032	↑ 10°	92	3,606	67 Climbing	 FlightAware ADS-B (KCOU)
Sat 09:54:34	38.4544	-92.5015	↑ 7°	93	3,631	 Level	 FlightAware ADS-B (KCOU)
Sat 09:54:54	38.4627	-92.5001	↑ 7°	95	3,606	-75 Descending	 FlightAware ADS-B (KCOU)
Sat 09:55:14	38.4716	-92.4988	↑ 8°	97	3,581	-60 Descending	 FlightAware ADS-B (KCOU)
Sat 09:55:44	38.4849	-92.4962	↑ 8°	97	3,556	-33 Descending	 FlightAware ADS-B (KDMO)
Sat 09:56:00	38.4919	-92.4948	↑ 9°	96	3,556	 Level	 FlightAware ADS-B (KCOU)
Sat 09:56:25	38.5030	-92.4931	↑ 7°	96	3,556	 Level	 FlightAware ADS-B (KAIZ)
Sat 09:56:55	38.5163	-92.4908	↑ 6°	94	3,556	-25 Descending	 FlightAware ADS-B (KAIZ)
Sat 09:57:25	38.5294	-92.4887	↑ 10°	97	3,531	-25 Descending	 FlightAware ADS-B (KCOU)
Sat 09:57:55	38.5426	-92.4857	↑ 10°	95	3,531	 Level	 FlightAware ADS-B (KCOU)
Sat 09:58:19	38.5524	-92.4836	↑ 9°	94	3,531	36 Climbing	 FlightAware ADS-B (KTBN)
Sat 09:58:37	38.5600	-92.4819	↑ 10°	95	3,556	63 Climbing	 FlightAware ADS-B (KSZL)
Sat 09:59:07	38.5732	-92.4782	↑ 13°	95	3,581	25 Climbing	 FlightAware ADS-B (KVER)
Sat 09:59:37	38.5861	-92.4756	↑ 6°	93	3,581	-126 Descending	 FlightAware ADS-B (KDMO)
Sat 10:00:06	38.5989	-92.4734	↑ 10°	97	3,457	-31 Descending	 FlightAware ADS-B (KMHL)
Sat 10:00:24	38.6067	-92.4718	↑ 9°	95	3,557	156 Climbing	 FlightAware ADS-B (KDMO)
Sat 10:00:54	38.6200	-92.4694	↑ 8°	95	3,582	32 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:01:11	38.6270	-92.4680	↑ 10°	94	3,582	-45 Descending	 FlightAware ADS-B (KAIZ)
Sat 10:01:27	38.6344	-92.4665	↑ 9°	95	3,557	 Level	 FlightAware ADS-B (KDMO)
Sat 10:01:45	38.6420	-92.4650	↑ 9°	94	3,582	39 Climbing	 FlightAware ADS-B (KAIZ)
Sat 10:02:05	38.6508	-92.4633	↑ 8°	95	3,582	 Level	 FlightAware ADS-B (KAIZ)
Sat 10:02:22	38.6575	-92.4620	↑ 10°	95	3,582	 Level	 FlightAware ADS-B (KSZL)
Sat 10:02:38	38.6649	-92.4603	↑ 8°	93	3,582	 Level	 FlightAware ADS-B (KDMO)
Sat 10:02:54	38.6716	-92.4593	↑ 7°	94	3,582	 Level	 FlightAware ADS-B (KSZL)
Sat 10:03:19	38.6825	-92.4578	↑ 7°	95	3,582	37 Climbing	 FlightAware ADS-B (KDMO)
Sat 10:03:35	38.6895	-92.4565	↑ 8°	93	3,607	47 Climbing	 FlightAware ADS-B (KAIZ)
Sat 10:03:51	38.6961	-92.4553	↑ 7°	92	3,607	45 Climbing	 FlightAware ADS-B (KSZL)
Sat 10:04:08	38.7035	-92.4541	↑ 6°	90	3,632	-43 Descending	 FlightAware ADS-B (KCOU)
Sat 10:04:26	38.7110	-92.4534	↑ 4°	94	3,582	-94 Descending	 FlightAware ADS-B (KDMO)
Sat 10:04:56	38.7240	-92.4515	↑ 9°	95	3,557	-33 Descending	 FlightAware ADS-B (KAIZ)
Sat 10:05:12	38.7311	-92.4503	↑ 6°	92	3,557	 Level	 FlightAware ADS-B (KMHL)
Sat 10:05:42	38.7436	-92.4488	↑ 7°	88	3,557	-29 Descending	 FlightAware ADS-B (KCOU)
Sat 10:06:03	38.7507	-92.4473	↑ 15°	56	3,532	 Level	 FlightAware ADS-B (KMHL)
Sat 10:06:25	38.7560	-92.4454	↑ 17°	54	3,557	 Level	 FlightAware ADS-B (KVER)
Sat 10:06:43	38.7604	-92.4436	↑ 18°	54	3,532	-35 Descending	 FlightAware ADS-B (KMHL)
Sat 10:07:08	38.7666	-92.4409	↑ 19°	54	3,532	-34 Descending	 FlightAware ADS-B (KMHL)
Sat 10:07:27	38.7708	-92.4391	↑ 17°	54	3,507	-39 Descending	 FlightAware ADS-B (KCOU)
Sat 10:07:46	38.7756	-92.4372	↑ 16°	54	3,507	 Level	 FlightAware ADS-B (KCOU)
Sat 10:08:07	38.7806	-92.4357	↑ 14°	55	3,507	 Level	 FlightAware ADS-B (KCOU)
Sat 10:08:27	38.7854	-92.4344	↑ 11°	53	3,507	31 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:08:56	38.7925	-92.4333	↑ 5°	51	3,532	61 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:09:16	38.7973	-92.4329	↑ 6°	52	3,557	67 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:09:41	38.8032	-92.4320	↑ 10°	53	3,582	34 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:10:00	38.8076	-92.4304	↑ 16°	53	3,582	43 Climbing	 FlightAware ADS-B (KVER)
Sat 10:10:16	38.8115	-92.4295	↑ 357°	50	3,607	83 Climbing	 FlightAware ADS-B (KSZL)
Sat 10:10:36	38.8155	-92.4322	← 313°	48	3,632	81 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:10:53	38.8171	-92.4363	← 283°	47	3,657	83 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:11:12	38.8170	-92.4418	← 266°	51	3,682	38 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:11:32	38.8166	-92.4479	← 265°	52	3,682	 Level	 FlightAware ADS-B (KMHL)
Sat 10:11:52	38.8161	-92.4542	← 267°	51	3,682	 Level	 FlightAware ADS-B (KCOU)
Sat 10:12:18	38.8158	-92.4620	← 265°	50	3,682	-33 Descending	 FlightAware ADS-B (KCOU)
Sat 10:12:37	38.8154	-92.4674	← 263°	52	3,657	-171 Descending	 FlightAware ADS-B (KAIZ)
Sat 10:12:53	38.8151	-92.4730	← 271°	62	3,582	-269 Descending	 FlightAware ADS-B (KCOU)
Sat 10:13:16	38.8154	-92.4803	← 270°	59	3,482	1 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:13:47	38.8151	-92.4924	← 269°	76	3,583	158 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:14:04	38.8146	-92.5004	← 264°	82	3,608	 Level	 FlightAware ADS-B (KCOU)
Sat 10:14:23	38.8139	-92.5104	← 265°	89	3,583	 Level	 FlightAware ADS-B (KMHL)
Sat 10:14:55	38.8133	-92.5267	← 269°	89	3,608	47 Climbing	 FlightAware ADS-B (KVER)
Sat 10:15:27	38.8130	-92.5443	← 270°	89	3,633	29 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:15:47	38.8127	-92.5546	← 268°	83	3,633	-120 Descending	 FlightAware ADS-B (KCOU)
Sat 10:16:17	38.8126	-92.5666	← 271°	58	3,533	118 Climbing	 FlightAware ADS-B (KSZL)
Sat 10:16:38	38.8120	-92.5741	← 255°	56	3,733	179 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:16:59	38.8108	-92.5832	← 261°	87	3,658	-179 Descending	 FlightAware ADS-B (KVER)
Sat 10:17:20	38.8101	-92.5943	← 292°	92	3,608	-143 Descending	 FlightAware ADS-B (KMHL)
Sat 10:17:41	38.8171	-92.6009	↖ 329°	90	3,558	-65 Descending	 FlightAware ADS-B (KMHL)
Sat 10:18:06	38.8261	-92.6079	↖ 317°	87	3,558	-100 Descending	 FlightAware ADS-B (KMHL)
Sat 10:18:26	38.8271	-92.6181	↙ 242°	99	3,483	-308 Descending	 FlightAware ADS-B (KMHL)
Sat 10:18:45	38.8193	-92.6245	↓ 186°	115	3,358	-343 Descending	 FlightAware ADS-B (KCOU)
Sat 10:19:01	38.8116	-92.6219	↘ 145°	120	3,283	-188 Descending	 FlightAware ADS-B (KSZL)
Sat 10:19:17	38.8057	-92.6132	↘ 120°	117	3,258	-219 Descending	 FlightAware ADS-B (KMHL)
Sat 10:19:49	38.7987	-92.5925	↘ 111°	119	3,108	-202 Descending	 FlightAware ADS-B (KMHL)
Sat 10:20:09	38.7952	-92.5810	↘ 122°	115	3,083	-95 Descending	 FlightAware ADS-B (KTBN)
Sat 10:20:37	38.7843	-92.5661	↘ 134°	117	3,032	-88 Descending	 FlightAware ADS-B (KCOU)
Sat 10:21:01	38.7761	-92.5536	↘ 122°	115	3,007	-33 Descending	 FlightAware ADS-B (KCOU)
Sat 10:21:22	38.7702	-92.5423	↘ 125°	112	3,007	 Level	 FlightAware ADS-B (KTBN)
Sat 10:21:38	38.7653	-92.5331	↘ 122°	114	3,007	 Level	 FlightAware ADS-B (KMHL)
Sat 10:22:08	38.7564	-92.5159	↘ 124°	114	3,007	-31 Descending	 FlightAware ADS-B (KMHL)
Sat 10:22:26	38.7513	-92.5070	↘ 125°	113	2,982	-43 Descending	 FlightAware ADS-B (KTBN)
Sat 10:22:43	38.7461	-92.4966	↘ 122°	111	2,982	39 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:23:04	38.7409	-92.4852	↘ 120°	110	3,007	79 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:23:21	38.7362	-92.4754	↘ 123°	109	3,032	45 Climbing	 FlightAware ADS-B (KMHL)
Sat 10:23:37	38.7319	-92.4673	↘ 125°	111	3,032	31 Climbing	 FlightAware ADS-B (KAIZ)
Sat 10:24:09	38.7230	-92.4506	↘ 124°	111	3,057	48 Climbing	 FlightAware ADS-B (KDMO)
Sat 10:24:40	38.7143	-92.4336	↘ 122°	112	3,082	-27 Descending	 FlightAware ADS-B (KDMO)
Sat 10:25:04	38.7074	-92.4195	↘ 120°	115	3,032	-83 Descending	 FlightAware ADS-B (KDMO)
Sat 10:25:34	38.6987	-92.4023	↘ 125°	111	3,007	 Level	 FlightAware ADS-B (KDMO)
Sat 10:26:04	38.6899	-92.3861	↘ 124°	112	3,032	-25 Descending	 FlightAware ADS-B (KDMO)
Sat 10:26:34	38.6814	-92.3695	↘ 121°	111	2,982	-29 Descending	 FlightAware ADS-B (KMHL)
Sat 10:26:55	38.6760	-92.3583	↘ 122°	110	3,007	37 Climbing	 FlightAware ADS-B (KDMO)
Sat 10:27:15	38.6704	-92.3471	↘ 123°	112	3,007	 Level	 FlightAware ADS-B (KDMO)
Sat 10:27:36	38.6645	-92.3359	↘ 124°	113	3,007	-29 Descending	 FlightAware ADS-B (KDMO)
Sat 10:28:07	38.6552	-92.3185	↘ 125°	113	2,982	-60 Descending	 FlightAware ADS-B (KVER)
Sat 10:28:26	38.6493	-92.3079	↘ 127°	114	2,957	-246 Descending	 FlightAware ADS-B (KDMO)
Sat 10:28:56	38.6405	-92.2921	↘ 125°	114	2,781	-460 Descending	 FlightAware ADS-B (KJEF)
Sat 10:29:15	38.6345	-92.2808	↘ 125°	118	2,581	-536 Descending	 FlightAware ADS-B (KMHL)
Sat 10:29:38	38.6274	-92.2683	↘ 125°	114	2,406	-424 Descending	 FlightAware ADS-B (KVER)
Sat 10:30:01	38.6209	-92.2558	↘ 123°	113	2,256	-316 Descending	 FlightAware ADS-B (KJEF)
Sat 10:30:16	38.6168	-92.2473	↘ 119°	107	2,206	-483 Descending	 Surface and Near-Surface
Sat 10:31:28	38.5974	-92.2076	↘ 123°	106	1,556	-478 Descending	 FlightAware ADS-B (KCOU)
Sat 10:31:47	38.5925	-92.1982	↘ 122°	101	1,481	-129 Descending	 FlightAware ADS-B (KJEF)
Sat 10:32:03	38.5887	-92.1902	↘ 120°	94	1,481	-208 Descending	 FlightAware ADS-B (KVER)
Sat 10:32:23	38.5840	-92.1802	↘ 121°	102	1,356	-208 Descending	 FlightAware ADS-B (KJEF)
Sat 10:32:39	38.5802	-92.1720	↘ 118°	103	1,356	-35 Descending	 FlightAware ADS-B (KVER)
Sat 10:33:06	38.5742	-92.1577	↘ 118°	101	1,331	-151 Descending	 FlightAware ADS-B (KVER)
Sat 10:36:18	38.5958	-92.1648	← 297°	78	806	-50 Descending	 FlightAware ADS-B (KJEF)
Sat 10:36:36	38.5985	-92.1726	← 259°	84	1,156	926 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:36:52	38.5945	-92.1783	↙ 207°	87	1,331	656 Climbing	 FlightAware ADS-B (KVER)
Sat 10:37:08	38.5883	-92.1812	↓ 172°	91	1,506	422 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:37:24	38.5828	-92.1750	↘ 126°	99	1,556	47 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:37:40	38.5789	-92.1672	↘ 122°	103	1,531	86 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:37:59	38.5742	-92.1576	↘ 122°	102	1,606	-41 Descending	 FlightAware ADS-B (KCOU)
Sat 10:38:17	38.5702	-92.1490	↘ 120°	91	1,506	-156 Descending	 FlightAware ADS-B (KVER)
Sat 10:41:31	38.5987	-92.1697	← 302°	76	1,056	-64 Descending	 FlightAware ADS-B (KJEF)
Sat 10:41:48	38.5975	-92.1764	↙ 214°	84	1,281	662 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:42:05	38.5919	-92.1807	↙ 202°	89	1,431	545 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:42:21	38.5856	-92.1766	↘ 128°	100	1,581	162 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:42:42	38.5804	-92.1672	↘ 125°	103	1,531	 Level	 FlightAware ADS-B (KVER)
Sat 10:42:58	38.5763	-92.1591	↘ 122°	101	1,581	 Level	 FlightAware ADS-B (KVER)
Sat 10:43:16	38.5722	-92.1505	↘ 119°	88	1,531	-168 Descending	 FlightAware ADS-B (KVER)
Sat 10:46:15	38.5961	-92.1661	← 296°	73	1,031	-90 Descending	 FlightAware ADS-B (KJEF)
Sat 10:46:35	38.5974	-92.1740	↙ 235°	83	1,231	608 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:46:52	38.5919	-92.1787	↙ 206°	84	1,406	706 Climbing	 FlightAware ADS-B (KVER)
Sat 10:47:09	38.5853	-92.1771	↘ 135°	94	1,631	343 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:47:27	38.5803	-92.1685	↘ 123°	99	1,606	42 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:47:45	38.5762	-92.1595	↘ 118°	104	1,656	 Level	 FlightAware ADS-B (KVER)
Sat 10:48:02	38.5726	-92.1510	↘ 118°	97	1,606	-257 Descending	 FlightAware ADS-B (KVER)
Sat 10:48:20	38.5687	-92.1418	↘ 119°	91	1,506	-167 Descending	 FlightAware ADS-B (KVER)
Sat 10:50:53	38.5994	-92.1696	← 302°	73	1,131	-71 Descending	 FlightAware ADS-B (KJEF)
Sat 10:51:10	38.5971	-92.1762	↙ 211°	90	1,306	773 Climbing	 FlightAware ADS-B (KVER)
Sat 10:51:26	38.5910	-92.1809	↙ 203°	88	1,556	375 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:51:46	38.5842	-92.1753	↘ 125°	101	1,531	-42 Descending	 FlightAware ADS-B (KVER)
Sat 10:52:02	38.5795	-92.1674	↘ 125°	106	1,531	 Level	 FlightAware ADS-B (KJEF)
Sat 10:52:21	38.5742	-92.1573	↘ 126°	107	1,531	-158 Descending	 FlightAware ADS-B (KVER)
Sat 10:52:40	38.5693	-92.1484	↘ 125°	90	1,431	-158 Descending	 FlightAware ADS-B (KVER)
Sat 10:56:19	38.6015	-92.1749	← 300°	79	906	-70 Descending	 FlightAware ADS-B (KJEF)
Sat 10:56:36	38.6034	-92.1824	← 258°	79	1,156	818 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:56:52	38.5983	-92.1873	↙ 201°	86	1,356	750 Climbing	 FlightAware ADS-B (KJEF)
Sat 10:57:08	38.5919	-92.1869	↘ 137°	97	1,556	574 Climbing	 FlightAware ADS-B (KCOU)
Sat 10:57:26	38.5872	-92.1786	↘ 126°	96	1,681	221 Climbing	 FlightAware ADS-B (KVER)
Sat 10:57:42	38.5830	-92.1709	↘ 125°	100	1,681	45 Climbing	 FlightAware ADS-B (KVER)
Sat 10:57:59	38.5784	-92.1624	↘ 124°	105	1,706	-45 Descending	 FlightAware ADS-B (KCOU)
Sat 10:58:15	38.5741	-92.1545	↘ 126°	102	1,656	-328 Descending	 FlightAware ADS-B (KVER)
Sat 10:58:31	38.5699	-92.1469	↘ 125°	91	1,531	-195 Descending	 FlightAware ADS-B (KVER)
Sat 11:01:37	38.5982	-92.1688	← 303°	77	1,000	-98 Descending	 FlightAware ADS-B (KJEF)
Sat 11:01:53	38.5977	-92.1758	↙ 230°	85	1,200	938 Climbing	 FlightAware ADS-B (KVER)
Sat 11:02:09	38.5921	-92.1808	↙ 207°	85	1,500	545 Climbing	 FlightAware ADS-B (KCOU)
Sat 11:02:26	38.5855	-92.1792	↘ 137°	104	1,500	 Level	 FlightAware ADS-B (KJEF)
Sat 11:02:44	38.5807	-92.1705	↘ 122°	107	1,500	 Level	 FlightAware ADS-B (KVER)
Sat 11:03:02	38.5760	-92.1603	↘ 118°	109	1,500	-176 Descending	 FlightAware ADS-B (KCOU)
Sat 11:03:18	38.5722	-92.1521	↘ 122°	96	1,400	-158 Descending	 FlightAware ADS-B (KVER)
Sat 11:03:40    Arrival (KJEF) @ Saturday 11:03:40 CDT		 FlightAware
Sat 11:03:40	38.5675	-92.1426	↘ 121°	85	1,400	 Level	 FlightAware ADS-B (KVER)
