Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Sat 09:38:39    Departure (KJEF) @ Saturday 09:38:39 CDT		 FlightAware
Sat 09:38:39	38.6006	-92.1722	← 299°	76	1,181	 Level	 FlightAware ADS-B (KJEF)
Sat 09:38:55	38.6001	-92.1791	↙ 224°	92	1,331	703 Climbing	 FlightAware ADS-B (KVER)
Sat 09:39:11	38.5944	-92.1835	↙ 209°	88	1,556	703 Climbing	 FlightAware ADS-B (KVER)
Sat 09:39:27	38.5884	-92.1874	↙ 207°	92	1,706	656 Climbing	 FlightAware ADS-B (KTBN)
Sat 09:39:43	38.5825	-92.1910	↙ 202°	90	1,906	656 Climbing	 FlightAware ADS-B (KTBN)
Sat 09:39:59	38.5759	-92.1949	↙ 203°	93	2,056	636 Climbing	 FlightAware ADS-B (KJEF)
Sat 09:40:16	38.5685	-92.1982	↙ 202°	95	2,256	682 Climbing	 FlightAware ADS-B (KDMO)
Sat 09:40:32	38.5630	-92.2015	↙ 206°	93	2,431	609 Climbing	 FlightAware ADS-B (KDMO)
Sat 09:40:48	38.5568	-92.2053	↙ 206°	95	2,581	636 Climbing	 FlightAware ADS-B (KVER)
Sat 09:41:05	38.5500	-92.2099	↙ 209°	92	2,781	618 Climbing	 FlightAware ADS-B (KJEF)
Sat 09:41:22	38.5439	-92.2141	↙ 208°	93	2,931	606 Climbing	 FlightAware ADS-B (KCOU)
Sat 09:41:52	38.5328	-92.2219	↙ 209°	90	3,256	600 Climbing	 FlightAware ADS-B (KCOU)
Sat 09:42:22	38.5217	-92.2296	↙ 208°	89	3,531	424 Climbing	 FlightAware ADS-B (KCOU)
Sat 09:42:38	38.5157	-92.2336	↙ 208°	100	3,581	94 Climbing	 FlightAware ADS-B (KTBN)
Sat 09:42:54	38.5094	-92.2384	↙ 212°	98	3,581	 Level	 FlightAware ADS-B (KTBN)
Sat 09:43:17	38.5011	-92.2459	↙ 217°	94	3,581	 Level	 FlightAware ADS-B (KTBN)
Sat 09:43:37	38.4940	-92.2535	↙ 221°	94	3,581	 Level	 FlightAware ADS-B (KMHL)
Sat 09:44:08	38.4845	-92.2650	↙ 224°	93	3,581	 Level	 FlightAware ADS-B (KCOU)
Sat 09:44:26	38.4783	-92.2726	↙ 226°	93	3,581	 Level	 FlightAware ADS-B (KJEF)
Sat 09:45:01	38.4688	-92.2865	↙ 231°	92	3,581	 Level	 FlightAware ADS-B (KJEF)
Sat 09:45:31	38.4610	-92.2992	↙ 234°	94	3,581	30 Climbing	 FlightAware ADS-B (KTBN)
Sat 09:45:51	38.4559	-92.3079	↙ 233°	92	3,606	 Level	 FlightAware ADS-B (KCOU)
Sat 09:46:12	38.4502	-92.3175	↙ 233°	92	3,581	-41 Descending	 FlightAware ADS-B (KTBN)
Sat 09:46:28	38.4462	-92.3244	↙ 234°	94	3,581	 Level	 FlightAware ADS-B (KVER)
Sat 09:46:45	38.4417	-92.3319	↙ 232°	95	3,581	 Level	 FlightAware ADS-B (KSZL)
Sat 09:47:05	38.4363	-92.3408	↙ 232°	95	3,581	 Level	 FlightAware ADS-B (KSZL)
Sat 09:47:36	38.4279	-92.3544	↙ 232°	98	3,581	31 Climbing	 FlightAware ADS-B (KCOU)
Sat 09:47:53	38.4231	-92.3616	↙ 229°	96	3,606	 Level	 FlightAware ADS-B (KCOU)
Sat 09:48:13	38.4172	-92.3705	↙ 230°	97	3,581	-38 Descending	 FlightAware ADS-B (KCOU)
