Time (CDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Fri 09:12:00 AM	38.6826	-92.3238	↗ 44°	79	91	1,975	-390 Descending	 FlightAware ADS-B (KCOU)
Fri 09:12:30 AM	38.6824	-92.3088	→ 109°	99	114	1,875	 Level	 FlightAware ADS-B (KCOU)
Fri 09:12:56 AM	38.6778	-92.2939	↘ 112°	107	123	1,975	244 Climbing	 FlightAware ADS-B (KCOU)
Fri 09:13:13 AM	38.6745	-92.2834	↘ 111°	111	128	2,050	214 Climbing	 FlightAware ADS-B (KDMO)
Fri 09:13:31 AM	38.6697	-92.2738	↓ 157°	104	120	2,100	39 Climbing	 FlightAware ADS-B (KCOU)
Fri 09:13:51 AM	38.6640	-92.2788	← 274°	81	93	2,075	-75 Descending	 FlightAware ADS-B (KDMO)
Fri 09:14:11 AM	38.6690	-92.2854	↖ 336°	92	106	2,050	-67 Descending	 FlightAware ADS-B (KMHL)
Fri 09:14:36 AM	38.6792	-92.2904	↖ 338°	88	101	2,025	 Level	 FlightAware ADS-B (KCOU)
Fri 09:14:55 AM	38.6858	-92.2942	↖ 319°	80	92	2,050	43 Climbing	 FlightAware ADS-B (KDMO)
Fri 09:15:11 AM	38.6862	-92.3010	↙ 226°	84	97	2,050	 Level	 FlightAware ADS-B (KCOU)
Fri 09:15:30 AM	38.6784	-92.3003	↘ 148°	112	129	2,050	 Level	 FlightAware ADS-B (KSZL)
Fri 09:15:50 AM	38.6695	-92.2933	↘ 149°	109	125	2,050	41 Climbing	 FlightAware ADS-B (KSZL)
Fri 09:16:07 AM	38.6622	-92.2875	↘ 148°	107	123	2,075	71 Climbing	 FlightAware ADS-B (KSZL)
Fri 09:16:32 AM	38.6532	-92.2769	↘ 127°	114	131	2,100	34 Climbing	 FlightAware ADS-B (KMHL)
Fri 09:16:51 AM	38.6475	-92.2669	↘ 125°	114	131	2,100	 Level	 FlightAware ADS-B (KJEF)
Fri 09:17:07 AM	38.6425	-92.2570	↘ 121°	116	133	2,100	-44 Descending	 FlightAware ADS-B (KCOU)
Fri 09:17:25 AM	38.6378	-92.2472	↘ 122°	118	136	2,075	-190 Descending	 FlightAware ADS-B (KJEF)
Fri 09:18:26 AM	38.6197	-92.2111	↘ 124°	114	131	1,850	-253 Descending	 FlightAware ADS-B (KCOU)
Fri 09:18:42 AM	38.6152	-92.2018	↘ 120°	109	125	1,750	-333 Descending	 FlightAware ADS-B (KDMO)
Fri 09:19:02 AM	38.6103	-92.1921	↘ 123°	85	98	1,650	-446 Descending	 FlightAware ADS-B (KDMO)
Fri 09:19:19 AM	38.6068	-92.1852	↘ 121°	83	96	1,475	-557 Descending	 FlightAware ADS-B (KCOU)
Fri 09:19:37 AM	38.6031	-92.1787	↘ 126°	77	89	1,325	-171 Descending	 FlightAware ADS-B (KJEF)
Fri 09:19:54 AM	38.5999	-92.1714	↘ 119°	88	101	1,375	171 Climbing	 FlightAware ADS-B (KJEF)
Fri 09:20:12 AM	38.5956	-92.1619	↘ 119°	102	117	1,425	118 Climbing	 FlightAware ADS-B (KJEF)
Fri 09:20:32 AM	38.5911	-92.1514	↘ 118°	101	116	1,450	81 Climbing	 FlightAware ADS-B (KDMO)
Fri 09:20:49 AM	38.5872	-92.1428	↘ 126°	104	120	1,475	70 Climbing	 FlightAware ADS-B (KJEF)
Fri 09:21:15 AM	38.5795	-92.1414	← 286°	88	101	1,500	107 Climbing	 FlightAware ADS-B (KDMO)
Fri 09:21:31 AM	38.5807	-92.1491	← 273°	84	97	1,550	188 Climbing	 FlightAware ADS-B (KVER)
Fri 09:21:47 AM	38.5799	-92.1567	← 259°	79	91	1,600	188 Climbing	 FlightAware ADS-B (KJEF)
