Time (CDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Sat 15:41:35    Departure (KJEF) @ Saturday 15:41:35 CDT			 FlightAware
Sat 15:41:35	38.5658	-92.1406	↙ 239°	82	94	1,656	 Level	 FlightAware ADS-B (KCOU)
Sat 15:41:52	38.5625	-92.1477	↙ 242°	82	94	1,781	485 Climbing	 FlightAware ADS-B (KVER)
Sat 15:42:09	38.5597	-92.1544	↙ 245°	79	91	1,931	574 Climbing	 FlightAware ADS-B (KJEF)
Sat 15:42:26	38.5568	-92.1612	↙ 237°	81	93	2,106	682 Climbing	 FlightAware ADS-B (KJEF)
Sat 15:42:42	38.5532	-92.1673	↙ 233°	81	93	2,306	682 Climbing	 FlightAware ADS-B (KJEF)
Sat 15:42:59	38.5500	-92.1742	↙ 242°	78	90	2,481	471 Climbing	 FlightAware ADS-B (KVER)
Sat 15:43:17	38.5469	-92.1809	↙ 239°	75	86	2,581	397 Climbing	 FlightAware ADS-B (KTBN)
Sat 15:43:33	38.5440	-92.1872	↙ 240°	74	85	2,706	469 Climbing	 FlightAware ADS-B (KJEF)
Sat 15:43:49	38.5413	-92.1938	↙ 244°	73	84	2,831	409 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:44:06	38.5384	-92.2006	↙ 242°	76	87	2,931	409 Climbing	 FlightAware ADS-B (KJEF)
Sat 15:44:22	38.5357	-92.2066	↙ 242°	76	87	3,056	500 Climbing	 FlightAware ADS-B (KJEF)
Sat 15:44:42	38.5320	-92.2140	↙ 235°	72	83	3,231	500 Climbing	 FlightAware ADS-B (KVER)
Sat 15:45:04	38.5276	-92.2223	↙ 237°	74	85	3,406	571 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:45:24	38.5236	-92.2300	↙ 234°	74	85	3,631	423 Climbing	 FlightAware ADS-B (KSZL)
Sat 15:45:43	38.5195	-92.2375	↙ 241°	88	101	3,681	67 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:46:09	38.5152	-92.2496	← 253°	87	100	3,681	-107 Descending	 FlightAware ADS-B (KTBN)
Sat 15:46:25	38.5127	-92.2579	↙ 236°	84	97	3,606	-265 Descending	 FlightAware ADS-B (KVER)
Sat 15:46:43	38.5087	-92.2646	↙ 235°	84	97	3,531	81 Climbing	 FlightAware ADS-B (KMHL)
Sat 15:47:02	38.5042	-92.2716	↙ 225°	82	94	3,656	231 Climbing	 FlightAware ADS-B (KMHL)
