Time (CDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Sat 15:47:22	38.4987	-92.2791	↙ 223°	83	96	3,681	122 Climbing	 FlightAware ADS-B (KTBN)
Sat 15:47:39	38.4940	-92.2852	↙ 228°	86	99	3,731	35 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:48:05	38.4872	-92.2962	↙ 231°	90	104	3,706	-100 Descending	 FlightAware ADS-B (KCOU)
Sat 15:48:39	38.4788	-92.3097	↙ 231°	90	104	3,631	-27 Descending	 FlightAware ADS-B (KMHL)
Sat 15:49:01	38.4730	-92.3194	↙ 232°	89	102	3,681	71 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:49:21	38.4679	-92.3266	↙ 227°	89	102	3,681	-33 Descending	 FlightAware ADS-B (KTBN)
Sat 15:49:46	38.4606	-92.3369	↙ 230°	87	100	3,656	-83 Descending	 FlightAware ADS-B (KVER)
Sat 15:50:15	38.4532	-92.3477	↙ 229°	87	100	3,606	-65 Descending	 FlightAware ADS-B (KDMO)
Sat 15:50:32	38.4483	-92.3541	↙ 228°	88	101	3,606	-43 Descending	 FlightAware ADS-B (KVER)
Sat 15:50:50	38.4440	-92.3619	↙ 235°	86	99	3,581	-105 Descending	 FlightAware ADS-B (KCOU)
Sat 15:51:15	38.4375	-92.3711	↙ 229°	89	102	3,531	-67 Descending	 FlightAware ADS-B (KCOU)
Sat 15:51:35	38.4330	-92.3793	↙ 235°	85	98	3,531	-33 Descending	 FlightAware ADS-B (KTBN)
Sat 15:52:01	38.4270	-92.3896	↙ 234°	81	93	3,506	-35 Descending	 FlightAware ADS-B (KVER)
Sat 15:52:18	38.4229	-92.3958	↙ 225°	81	93	3,506	158 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:52:39	38.4171	-92.4028	↙ 225°	81	93	3,606	196 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:53:04	38.4113	-92.4112	↙ 229°	82	94	3,656	140 Climbing	 FlightAware ADS-B (KTBN)
Sat 15:53:22	38.4066	-92.4182	↙ 228°	81	93	3,706	77 Climbing	 FlightAware ADS-B (KVER)
Sat 15:53:43	38.4012	-92.4257	↙ 227°	81	93	3,706	68 Climbing	 FlightAware ADS-B (KVER)
Sat 15:54:06	38.3959	-92.4349	↙ 237°	86	99	3,756	30 Climbing	 FlightAware ADS-B (KDMO)
Sat 15:54:33	38.3897	-92.4454	↙ 230°	91	105	3,731	-58 Descending	 FlightAware ADS-B (KCOU)
Sat 15:54:58	38.3832	-92.4556	↙ 230°	91	105	3,706	-67 Descending	 FlightAware ADS-B (KSZL)
Sat 15:55:18	38.3774	-92.4642	↙ 232°	90	104	3,681	-113 Descending	 FlightAware ADS-B (KVER)
Sat 15:55:38	38.3737	-92.4734	← 268°	100	115	3,631	-41 Descending	 FlightAware ADS-B (KSZL)
Sat 15:55:55	38.3778	-92.4824	↖ 324°	107	123	3,656	81 Climbing	 FlightAware ADS-B (KCOU)
Sat 15:56:15	38.3867	-92.4845	↑ 1°	106	122	3,681	 Level	 FlightAware ADS-B (KVER)
Sat 15:56:36	38.3974	-92.4831	↑ 7°	109	125	3,656	 Level	 FlightAware ADS-B (KVER)
Sat 15:57:03	38.4112	-92.4804	↑ 8°	111	128	3,681	68 Climbing	 FlightAware ADS-B (KDMO)
Sat 15:57:20	38.4192	-92.4786	↑ 8°	110	127	3,706	125 Climbing	 FlightAware ADS-B (KVER)
Sat 15:57:39	38.4290	-92.4776	↑ 2°	105	121	3,756	 Level	 FlightAware ADS-B (KVER)
Sat 15:58:08	38.4433	-92.4760	↑ 5°	110	127	3,706	-31 Descending	 FlightAware ADS-B (KCOU)
Sat 15:58:27	38.4521	-92.4754	↑ 4°	111	128	3,731	-83 Descending	 FlightAware ADS-B (KAIZ)
Sat 15:58:44	38.4612	-92.4745	↑ 5°	112	129	3,656	-63 Descending	 FlightAware ADS-B (KMHL)
Sat 15:59:15	38.4774	-92.4731	↑ 3°	107	123	3,681	 Level	 FlightAware ADS-B (KVER)
Sat 15:59:31	38.4854	-92.4723	↑ 4°	107	123	3,656	-45 Descending	 FlightAware ADS-B (KVER)
Sat 15:59:48	38.4941	-92.4710	↑ 9°	105	121	3,656	 Level	 FlightAware ADS-B (KVER)
Sat 16:00:04	38.5018	-92.4693	↑ 10°	107	123	3,656	73 Climbing	 FlightAware ADS-B (KVER)
Sat 16:00:29	38.5130	-92.4658	↑ 15°	93	107	3,706	-70 Descending	 FlightAware ADS-B (KDMO)
Sat 16:00:47	38.5196	-92.4637	↑ 15°	83	96	3,606	-375 Descending	 FlightAware ADS-B (KVER)
Sat 16:01:05	38.5255	-92.4616	↑ 18°	86	99	3,481	-75 Descending	 FlightAware ADS-B (KDMO)
Sat 16:01:27	38.5340	-92.4586	↑ 13°	106	122	3,556	231 Climbing	 FlightAware ADS-B (KTBN)
Sat 16:01:44	38.5434	-92.4567	↑ 3°	102	117	3,631	171 Climbing	 FlightAware ADS-B (KVER)
Sat 16:02:02	38.5521	-92.4567	↑ 357°	103	119	3,656	192 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:02:23	38.5621	-92.4568	↑ 358°	102	117	3,756	158 Climbing	 FlightAware ADS-B (KVER)
Sat 16:02:40	38.5700	-92.4570	↑ 357°	105	121	3,756	 Level	 FlightAware ADS-B (KVER)
Sat 16:03:06	38.5822	-92.4576	↑ 359°	105	121	3,756	31 Climbing	 FlightAware ADS-B (KAIZ)
Sat 16:03:31	38.5951	-92.4577	↑ 0°	109	125	3,782	-31 Descending	 FlightAware ADS-B (KVER)
Sat 16:03:52	38.6046	-92.4569	↑ 5°	88	101	3,732	-231 Descending	 FlightAware ADS-B (KSZL)
Sat 16:04:10	38.6113	-92.4556	↑ 12°	69	79	3,632	-225 Descending	 FlightAware ADS-B (KDMO)
Sat 16:04:32	38.6196	-92.4548	↑ 359°	99	114	3,582	37 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:04:51	38.6292	-92.4546	↑ 2°	100	115	3,657	162 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:05:09	38.6379	-92.4542	↑ 3°	98	113	3,682	-73 Descending	 FlightAware ADS-B (KVER)
Sat 16:05:32	38.6465	-92.4537	↑ 1°	81	93	3,607	-96 Descending	 FlightAware ADS-B (KDMO)
Sat 16:05:56	38.6569	-92.4533	↑ 359°	102	117	3,607	75 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:06:12	38.6653	-92.4534	↑ 1°	93	107	3,657	-220 Descending	 FlightAware ADS-B (KVER)
Sat 16:06:37	38.6767	-92.4524	↑ 6°	107	123	3,457	-32 Descending	 FlightAware ADS-B (KVER)
Sat 16:06:59	38.6866	-92.4542	↖ 336°	98	113	3,632	450 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:07:17	38.6916	-92.4614	← 290°	90	104	3,757	324 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:07:36	38.6932	-92.4715	← 276°	91	105	3,832	122 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:07:54	38.6934	-92.4812	← 268°	96	110	3,832	-68 Descending	 FlightAware ADS-B (KMHL)
Sat 16:08:20	38.6926	-92.4967	← 264°	98	113	3,782	56 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:08:48	38.6920	-92.5098	← 267°	64	74	3,882	203 Climbing	 FlightAware ADS-B (KTBN)
Sat 16:09:19	38.6926	-92.5224	← 276°	88	101	3,982	61 Climbing	 FlightAware ADS-B (KTBN)
Sat 16:09:37	38.6933	-92.5325	← 276°	102	117	3,932	-219 Descending	 FlightAware ADS-B (KVER)
Sat 16:10:07	38.6955	-92.5515	← 281°	110	127	3,807	-263 Descending	 FlightAware ADS-B (KVER)
Sat 16:10:34	38.6968	-92.5677	← 274°	105	121	3,682	27 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:11:02	38.6975	-92.5839	← 276°	82	94	3,832	170 Climbing	 FlightAware ADS-B (KTBN)
Sat 16:11:18	38.6985	-92.5913	← 281°	68	78	3,807	-98 Descending	 FlightAware ADS-B (KDMO)
Sat 16:11:48	38.6990	-92.6036	← 273°	88	101	3,757	-65 Descending	 FlightAware ADS-B (KDMO)
Sat 16:12:04	38.6996	-92.6107	← 280°	72	83	3,757	167 Climbing	 FlightAware ADS-B (KTBN)
Sat 16:12:24	38.7010	-92.6189	← 285°	60	69	3,857	 Level	 FlightAware ADS-B (KVER)
Sat 16:12:51	38.7034	-92.6308	← 286°	94	108	3,757	142 Climbing	 FlightAware ADS-B (KVER)
Sat 16:13:17	38.7056	-92.6444	← 282°	66	76	3,982	173 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:13:43	38.7056	-92.6554	← 269°	95	109	3,907	-128 Descending	 FlightAware ADS-B (KVER)
Sat 16:14:04	38.7067	-92.6679	← 279°	101	116	3,882	-67 Descending	 FlightAware ADS-B (KDMO)
Sat 16:14:28	38.7082	-92.6821	← 280°	101	116	3,857	-38 Descending	 FlightAware ADS-B (KVER)
Sat 16:14:44	38.7092	-92.6915	← 277°	99	114	3,857	-77 Descending	 FlightAware ADS-B (KDMO)
Sat 16:15:07	38.7106	-92.7040	← 280°	98	113	3,807	-267 Descending	 FlightAware ADS-B (KDMO)
Sat 16:15:29	38.7124	-92.7155	← 288°	79	91	3,657	-453 Descending	 FlightAware ADS-B (KVER)
Sat 16:15:50	38.7153	-92.7250	← 295°	84	97	3,482	-652 Descending	 FlightAware ADS-B (KDMO)
Sat 16:16:15	38.7199	-92.7360	← 303°	85	98	3,157	-652 Descending	 FlightAware ADS-B (KDMO)
Sat 16:16:36	38.7253	-92.7439	← 313°	85	98	2,982	-229 Descending	 FlightAware ADS-B (KSZL)
Sat 16:16:54	38.7302	-92.7508	← 305°	88	101	3,008	232 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:17:15	38.7328	-92.7604	← 277°	83	96	3,133	467 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:17:39	38.7338	-92.7727	← 274°	86	99	3,358	488 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:17:55	38.7346	-92.7804	← 277°	81	93	3,458	328 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:18:11	38.7377	-92.7870	↑ 341°	98	113	3,533	201 Climbing	 FlightAware ADS-B (KVER)
Sat 16:18:30	38.7429	-92.7813	→ 88°	88	101	3,575	145 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:18:49	38.7441	-92.7707	↗ 65°	97	112	3,625	140 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:19:13	38.7498	-92.7574	↗ 62°	105	121	3,675	188 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:19:29	38.7533	-92.7494	↗ 59°	101	116	3,750	 Level	 FlightAware ADS-B (KVER)
Sat 16:19:45	38.7574	-92.7405	↗ 59°	104	120	3,675	-45 Descending	 FlightAware ADS-B (KSZL)
Sat 16:20:02	38.7612	-92.7327	↗ 58°	102	117	3,725	167 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:20:21	38.7653	-92.7231	↗ 65°	98	113	3,775	73 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:20:43	38.7702	-92.7103	↗ 63°	104	120	3,775	 Level	 FlightAware ADS-B (KDMO)
Sat 16:21:03	38.7746	-92.6992	→ 67°	105	121	3,775	 Level	 FlightAware ADS-B (KDMO)
Sat 16:21:34	38.7806	-92.6816	↗ 63°	110	127	3,775	-30 Descending	 FlightAware ADS-B (KVER)
Sat 16:21:53	38.7850	-92.6704	↗ 64°	111	128	3,750	-188 Descending	 FlightAware ADS-B (KSZL)
Sat 16:22:14	38.7897	-92.6577	↗ 64°	112	129	3,650	-326 Descending	 FlightAware ADS-B (KDMO)
Sat 16:22:39	38.7952	-92.6428	↗ 61°	112	129	3,500	-183 Descending	 FlightAware ADS-B (KMHL)
Sat 16:22:55	38.7999	-92.6338	↗ 58°	108	124	3,525	-38 Descending	 FlightAware ADS-B (KVER)
Sat 16:23:18	38.8048	-92.6205	↗ 63°	106	122	3,475	-57 Descending	 FlightAware ADS-B (KDMO)
Sat 16:23:48	38.8118	-92.6045	↗ 61°	102	117	3,475	-30 Descending	 FlightAware ADS-B (KSZL)
Sat 16:24:08	38.8166	-92.5934	↗ 60°	104	120	3,450	 Level	 FlightAware ADS-B (KDMO)
Sat 16:24:34	38.8222	-92.5798	→ 66°	103	119	3,475	36 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:24:50	38.8252	-92.5708	→ 66°	100	115	3,475	36 Climbing	 FlightAware ADS-B (KVER)
Sat 16:25:16	38.8301	-92.5566	→ 67°	104	120	3,500	35 Climbing	 FlightAware ADS-B (KVER)
Sat 16:25:33	38.8335	-92.5478	↗ 62°	98	113	3,500	-203 Descending	 FlightAware ADS-B (KCOU)
Sat 16:25:53	38.8392	-92.5404	↑ 355°	96	110	3,375	-200 Descending	 FlightAware ADS-B (KDMO)
Sat 16:26:18	38.8511	-92.5419	↑ 357°	109	125	3,350	 Level	 FlightAware ADS-B (KVER)
Sat 16:26:38	38.8606	-92.5383	↗ 43°	106	122	3,375	113 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:26:58	38.8656	-92.5282	↗ 63°	103	119	3,425	143 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:27:20	38.8694	-92.5169	→ 66°	101	116	3,475	118 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:27:49	38.8757	-92.5005	↗ 64°	103	119	3,525	65 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:28:06	38.8794	-92.4910	↗ 64°	104	120	3,525	 Level	 FlightAware ADS-B (KDMO)
Sat 16:28:24	38.8832	-92.4820	↗ 47°	105	121	3,525	 Level	 FlightAware ADS-B (KCOU)
Sat 16:28:50	38.8961	-92.4811	↖ 317°	103	119	3,525	33 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:29:10	38.8928	-92.4836	→ 101°	94	108	3,550	75 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:29:30	38.9008	-92.4790	↑ 359°	112	129	3,575	 Level	 FlightAware ADS-B (KSZL)
Sat 16:29:47	38.9094	-92.4799	↑ 357°	111	128	3,550	-44 Descending	 FlightAware ADS-B (KDMO)
Sat 16:30:04	38.9178	-92.4797	↑ 359°	109	125	3,550	-125 Descending	 FlightAware ADS-B (KMHL)
Sat 16:30:23	38.9205	-92.4873	↙ 206°	88	101	3,475	-154 Descending	 FlightAware ADS-B (KSZL)
Sat 16:30:43	38.9169	-92.4804	↗ 62°	108	124	3,450	-162 Descending	 FlightAware ADS-B (KSZL)
Sat 16:31:00	38.9233	-92.4803	← 288°	106	122	3,375	-88 Descending	 FlightAware ADS-B (KMHL)
Sat 16:31:17	38.9191	-92.4838	↘ 124°	94	108	3,400	86 Climbing	 FlightAware ADS-B (KVER)
Sat 16:31:35	38.9240	-92.4772	↑ 360°	110	127	3,425	73 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:31:58	38.9360	-92.4780	↑ 355°	107	123	3,450	219 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:32:23	38.9481	-92.4799	↑ 348°	96	110	3,600	233 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:32:43	38.9535	-92.4870	← 271°	94	108	3,625	-184 Descending	 FlightAware ADS-B (KSZL)
Sat 16:33:12	38.9528	-92.5042	← 264°	103	119	3,450	-367 Descending	 FlightAware ADS-B (KVER)
Sat 16:33:32	38.9517	-92.5158	← 266°	104	120	3,325	-319 Descending	 FlightAware ADS-B (KCOU)
Sat 16:33:59	38.9504	-92.5330	← 261°	103	119	3,200	-307 Descending	 FlightAware ADS-B (KSZL)
Sat 16:34:16	38.9492	-92.5429	← 259°	102	117	3,100	-429 Descending	 FlightAware ADS-B (KSZL)
Sat 16:34:34	38.9476	-92.5535	← 265°	107	123	2,950	-433 Descending	 FlightAware ADS-B (KCOU)
Sat 16:35:01	38.9566	-92.5670	↖ 317°	111	128	2,775	-170 Descending	 FlightAware ADS-B (KVER)
Sat 16:35:18	38.9594	-92.5762	← 265°	86	99	2,825	41 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:35:38	38.9589	-92.5875	← 264°	92	106	2,800	15 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:35:50	38.9584	-92.5944	← 266°	98	113	2,833	54 Climbing	 Surface and Near-Surface
Sat 16:37:01	38.9562	-92.6018	→ 73°	97	112	2,875	46 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:37:18	38.9574	-92.5924	→ 81°	97	112	2,900	107 Climbing	 FlightAware ADS-B (KVER)
Sat 16:37:43	38.9589	-92.5775	→ 82°	97	112	2,950	127 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:38:17	38.9538	-92.5624	↘ 128°	87	100	3,025	207 Climbing	 FlightAware ADS-B (KVER)
Sat 16:38:41	38.9482	-92.5526	↘ 125°	81	93	3,150	300 Climbing	 FlightAware ADS-B (KVER)
Sat 16:38:57	38.9451	-92.5464	↘ 123°	77	89	3,225	220 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:39:22	38.9398	-92.5357	↘ 132°	92	106	3,300	125 Climbing	 FlightAware ADS-B (KSZL)
Sat 16:39:45	38.9333	-92.5272	↘ 132°	93	107	3,325	 Level	 FlightAware ADS-B (KVER)
Sat 16:40:03	38.9276	-92.5203	↘ 139°	98	113	3,300	-237 Descending	 FlightAware ADS-B (KCOU)
Sat 16:40:23	38.9200	-92.5123	↘ 143°	103	119	3,175	-446 Descending	 FlightAware ADS-B (KSZL)
Sat 16:40:40	38.9133	-92.5057	↘ 146°	108	124	3,025	-313 Descending	 FlightAware ADS-B (KSZL)
Sat 16:41:11	38.9012	-92.4956	↘ 147°	105	121	2,925	-412 Descending	 FlightAware ADS-B (KSZL)
Sat 16:41:31	38.8933	-92.4890	↘ 152°	102	117	2,675	-750 Descending	 FlightAware ADS-B (KSZL)
Sat 16:41:47	38.8865	-92.4849	↘ 154°	98	113	2,475	-333 Descending	 FlightAware ADS-B (KSZL)
Sat 16:42:16	38.8755	-92.4769	↘ 149°	94	108	2,425	-170 Descending	 FlightAware ADS-B (KSZL)
Sat 16:42:40	38.8668	-92.4701	↘ 148°	95	109	2,325	-183 Descending	 FlightAware ADS-B (KDMO)
Sat 16:42:57	38.8601	-92.4647	↘ 145°	94	108	2,300	-110 Descending	 FlightAware ADS-B (KSZL)
Sat 16:43:21	38.8516	-92.4571	↘ 146°	98	113	2,250	31 Climbing	 FlightAware ADS-B (KVER)
Sat 16:43:46	38.8424	-92.4501	↘ 143°	90	104	2,325	 Level	 FlightAware ADS-B (KSZL)
Sat 16:44:03	38.8366	-92.4445	↘ 141°	96	110	2,250	-136 Descending	 FlightAware ADS-B (KCOU)
Sat 16:44:19	38.8310	-92.4376	↘ 133°	96	110	2,250	-122 Descending	 FlightAware ADS-B (KVER)
Sat 16:44:40	38.8252	-92.4286	↘ 128°	101	116	2,175	-122 Descending	 FlightAware ADS-B (KVER)
Sat 16:44:56	38.8209	-92.4210	↘ 125°	99	114	2,175	 Level	 FlightAware ADS-B (KVER)
Sat 16:45:16	38.8148	-92.4130	↓ 158°	87	100	2,175	 Level	 FlightAware ADS-B (KVER)
Sat 16:45:47	38.8038	-92.4070	↓ 159°	92	106	2,175	 Level	 FlightAware ADS-B (KDMO)
Sat 16:46:08	38.7957	-92.4025	↓ 158°	90	104	2,175	58 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:46:39	38.7839	-92.3965	↘ 155°	89	102	2,225	92 Climbing	 FlightAware ADS-B (KMHL)
Sat 16:46:57	38.7775	-92.3927	↘ 155°	86	99	2,250	39 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:47:17	38.7697	-92.3888	↓ 162°	86	99	2,250	42 Climbing	 FlightAware ADS-B (KDMO)
Sat 16:47:33	38.7634	-92.3859	↓ 158°	87	100	2,275	 Level	 FlightAware ADS-B (KMHL)
Sat 16:48:03	38.7522	-92.3790	↘ 155°	90	104	2,250	-196 Descending	 FlightAware ADS-B (KVER)
Sat 16:48:19	38.7461	-92.3752	↘ 154°	94	108	2,125	-439 Descending	 FlightAware ADS-B (KVER)
Sat 16:48:44	38.7362	-92.3697	↓ 157°	92	106	1,950	-464 Descending	 FlightAware ADS-B (KMHL)
Sat 16:49:01	38.7295	-92.3659	↘ 155°	94	108	1,800	-455 Descending	 FlightAware ADS-B (KVER)
Sat 16:49:17	38.7238	-92.3628	↓ 157°	91	105	1,700	-429 Descending	 FlightAware ADS-B (KDMO)
Sat 16:49:36	38.7160	-92.3594	↓ 166°	91	105	1,550	-110 Descending	 FlightAware ADS-B (KDMO)
Sat 16:49:58	38.7071	-92.3555	↘ 155°	89	102	1,625	 Level	 FlightAware ADS-B (KVER)
Sat 16:50:21	38.6981	-92.3515	↓ 163°	92	106	1,550	-31 Descending	 FlightAware ADS-B (KVER)
Sat 16:50:46	38.6888	-92.3462	↘ 147°	82	94	1,600	33 Climbing	 FlightAware ADS-B (KVER)
Sat 16:51:06	38.6824	-92.3400	↘ 134°	88	101	1,575	 Level	 FlightAware ADS-B (KVER)
Sat 16:51:24	38.6780	-92.3326	↘ 119°	90	104	1,600	132 Climbing	 FlightAware ADS-B (KVER)
Sat 16:51:40	38.6746	-92.3252	↘ 121°	87	100	1,650	-170 Descending	 FlightAware ADS-B (KVER)
Sat 16:52:08	38.6682	-92.3131	↘ 122°	94	108	1,475	-260 Descending	 FlightAware ADS-B (KCOU)
Sat 16:52:32	38.6682	-92.2991	→ 76°	100	115	1,425	-33 Descending	 FlightAware ADS-B (KVER)
Sat 16:52:53	38.6748	-92.2931	↑ 4°	101	116	1,450	-39 Descending	 FlightAware ADS-B (KCOU)
Sat 16:53:10	38.6828	-92.2933	↑ 345°	100	115	1,400	-41 Descending	 FlightAware ADS-B (KCOU)
Sat 16:53:30	38.6858	-92.3016	↙ 230°	83	96	1,425	42 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:53:46	38.6798	-92.3033	↓ 185°	86	99	1,425	-83 Descending	 FlightAware ADS-B (KCOU)
Sat 16:54:06	38.6755	-92.3113	← 272°	98	113	1,375	-37 Descending	 FlightAware ADS-B (KCOU)
Sat 16:54:27	38.6835	-92.3173	↑ 1°	101	116	1,400	79 Climbing	 FlightAware ADS-B (KVER)
Sat 16:54:44	38.6912	-92.3188	↖ 333°	101	116	1,425	162 Climbing	 FlightAware ADS-B (KVER)
Sat 16:55:04	38.6977	-92.3272	← 295°	95	109	1,500	-39 Descending	 FlightAware ADS-B (KVER)
Sat 16:55:22	38.6970	-92.3357	↙ 234°	91	105	1,400	-171 Descending	 FlightAware ADS-B (KCOU)
Sat 16:55:39	38.6902	-92.3384	↓ 161°	91	105	1,400	43 Climbing	 FlightAware ADS-B (KVER)
Sat 16:55:57	38.6863	-92.3312	→ 88°	98	113	1,425	39 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:56:17	38.6931	-92.3247	↑ 349°	102	117	1,425	79 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:56:35	38.7009	-92.3288	← 313°	95	109	1,475	118 Climbing	 FlightAware ADS-B (KVER)
Sat 16:56:55	38.6990	-92.3367	↙ 205°	79	91	1,500	115 Climbing	 FlightAware ADS-B (KVER)
Sat 16:57:14	38.6919	-92.3388	↓ 180°	81	93	1,550	 Level	 FlightAware ADS-B (KCOU)
Sat 16:57:40	38.6818	-92.3365	↘ 155°	98	113	1,500	 Level	 FlightAware ADS-B (KCOU)
Sat 16:58:03	38.6739	-92.3277	↘ 134°	95	109	1,550	-31 Descending	 FlightAware ADS-B (KVER)
Sat 16:58:28	38.6679	-92.3148	→ 110°	100	115	1,475	-143 Descending	 FlightAware ADS-B (KVER)
Sat 16:58:45	38.6677	-92.3059	↗ 65°	100	115	1,450	81 Climbing	 FlightAware ADS-B (KVER)
Sat 16:59:05	38.6747	-92.2987	↑ 2°	97	112	1,525	150 Climbing	 FlightAware ADS-B (KCOU)
Sat 16:59:25	38.6838	-92.2999	↖ 319°	91	105	1,550	-38 Descending	 FlightAware ADS-B (KCOU)
Sat 16:59:45	38.6806	-92.3059	↓ 181°	88	101	1,500	-188 Descending	 FlightAware ADS-B (KVER)
Sat 17:00:05	38.6778	-92.3141	← 312°	103	119	1,425	-225 Descending	 FlightAware ADS-B (KCOU)
Sat 17:00:25	38.6871	-92.3163	↑ 353°	111	128	1,350	-73 Descending	 FlightAware ADS-B (KVER)
Sat 17:00:46	38.6949	-92.3227	← 309°	105	121	1,375	220 Climbing	 FlightAware ADS-B (KVER)
Sat 17:01:06	38.6969	-92.3331	↙ 245°	81	93	1,500	237 Climbing	 FlightAware ADS-B (KVER)
Sat 17:01:24	38.6908	-92.3361	↓ 177°	82	94	1,525	160 Climbing	 FlightAware ADS-B (KDMO)
Sat 17:01:53	38.6847	-92.3243	↘ 117°	85	98	1,625	184 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:02:13	38.6814	-92.3149	↘ 112°	88	101	1,675	113 Climbing	 FlightAware ADS-B (KCOU)
Sat 17:02:33	38.6790	-92.3053	↘ 112°	88	101	1,700	75 Climbing	 FlightAware ADS-B (KVER)
Sat 17:02:53	38.6757	-92.2963	↘ 123°	89	102	1,725	125 Climbing	 FlightAware ADS-B (KVER)
