Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitude,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
"Matthew Pearon","N8222F","KJEF",38.594850547396476,-92.1645013256414,"KJEF",38.592734758004205,-92.16354665833755,1623963182000,1623968266482,5084.481978654861,111.50848950562887,"None","iPhone","iPhone9,3","14.7",0.53,"iOS",276.9628601074219,4.662022113800049,8.889470485421377,64.00966618944702,4.000604136840439,9.309143530468345,"iOS","KJEF KSAT N8248T 10500ft"
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
1.6239631820007243E9,38.594850547396476,-92.1645013256414,543.686018621442,-1.0,0.007139127159510951,,,6.000906205260658,6.994625568389893
1.6239631830007234E9,38.5948503419988,-92.1645010024822,543.431369471431,-1.0,0.057072530692439026,,,6.000906205260658,7.1149749755859375
1.623963184000722E9,38.594850359154144,-92.16450168564307,543.5258607889962,-1.0,0.04286322431571493,,,6.000906205260658,7.45925760269165
1.623963185000721E9,38.59485020996814,-92.16450123293728,543.2779464129869,-1.0,0.0436428607925422,,,6.000906205260658,7.1383891105651855
1.62396318600072E9,38.5948500054883,-92.16450112783832,543.1311537609895,-1.0,0.012649436913978518,,,6.000906205260658,6.927995681762695
1.6239631870007186E9,38.594849614319955,-92.16450079097923,542.6371715454673,-1.0,0.005706889370681257,,,6.000906205260658,6.770398139953613
1.6239631880007172E9,38.594849525060674,-92.16450031820344,541.490713054573,-1.0,0.011334917342971894,,,6.000906205260658,6.657242298126221
1.623963189000717E9,38.59484884065755,-92.16449985007505,540.3069072882346,-1.0,0.016091635619597453,,,6.000906205260658,6.581470489501953
1.623963190000715E9,38.59484862315478,-92.16449865115801,539.4572220843095,-1.0,0.04326560997783132,,,6.000906205260658,6.529191970825195
1.623963191000715E9,38.594844760952,-92.1645044639478,538.6980984662572,-1.0,0.05156816566248657,,,6.000906205260658,6.490046501159668
1.623963192000713E9,38.594842768864574,-92.16451055153105,538.169254607251,-1.0,0.32809388905314474,,,6.000906205260658,6.4644389152526855
1.6239631930007126E9,38.59484458252817,-92.16451565772557,537.4586429845704,-1.0,0.3615904506382391,,,6.000906205260658,6.422695636749268
1.6239631940007114E9,38.594844913736445,-92.1645188272013,537.1093830897996,-1.0,0.04206757351591524,,,6.000906205260658,6.377383708953857
1.623963195000711E9,38.59484503373902,-92.16451949942643,537.0087944316748,-1.0,0.012173246150561944,,,6.000906205260658,6.365402698516846
1.6239631960007088E9,38.59484425134513,-92.16452049291107,536.7997868901964,-1.0,0.019533487643908543,,,6.000906205260658,6.2961883544921875
1.6239631970007086E9,38.594844620166214,-92.16452167711853,536.6963316780201,-1.0,0.05323387973455472,,,6.000906205260658,6.219240188598633
1.6239631980007071E9,38.594845150023595,-92.16452230404315,536.8453940979095,-1.0,3.9529945771412663E-4,,,6.000906205260658,6.28237771987915
1.6239631990007055E9,38.59484577027133,-92.16452261941711,536.6372632863802,-1.0,0.004181470344583269,,,6.000906205260658,6.243646621704102
1.623963200000705E9,38.5948459176069,-92.16452292433058,536.2922983416312,-1.0,0.07015976635680266,,,6.000906205260658,6.219659805297852
1.6239632010007038E9,38.59485350884972,-92.16453168267427,535.7613187750444,-1.0,0.2607903421899052,,,6.000906205260658,6.396212577819824
1.6239632020007029E9,38.59486070408416,-92.16454132912163,535.1715281279131,-1.0,0.2697142195713811,,,6.000906205260658,6.429393768310547
1.6239632030007014E9,38.59486474144353,-92.16454721984194,534.5161311784017,-1.0,0.04704021088521093,,,6.000906205260658,6.373592376708984
1.6239632040007005E9,38.594865391754816,-92.16454797182259,533.7501602236752,-1.0,0.047371562180970536,,,6.000906205260658,6.350577354431152
1.6239632050007002E9,38.59486426259969,-92.16454813231154,533.0442742084501,-1.0,8.033027939799876E-4,,,6.000906205260658,6.319244861602783
1.6239632060006986E9,38.59486435107858,-92.16454821185283,532.5268218748546,-1.0,0.01668393927629541,,,6.000906205260658,6.309658527374268
1.6239632070006971E9,38.59486460343816,-92.16454849897136,531.897526766642,-1.0,0.029158903164767568,,,6.000906205260658,6.311403274536133
1.623963208000697E9,38.59486385003901,-92.16454921188246,531.4405418774071,-1.0,0.11876781675414715,,,6.000906205260658,6.323350429534912
1.6239632090006955E9,38.59486333006824,-92.16454984818469,530.9310078976873,-1.0,0.04612916499442,,,6.000906205260658,6.328798770904541
1.6239632100006945E9,38.594861440529115,-92.1645482117981,530.1092597523708,-1.0,0.018083215638272317,,,6.000906205260658,6.323700428009033
1.6239632110006933E9,38.59486015417299,-92.16454635674256,529.3417438827603,-1.0,0.04714178217219839,,,6.000906205260658,6.2822370529174805
1.6239632120006924E9,38.59485943017028,-92.16454587580287,528.4145072883546,-1.0,0.03248806113469999,,,6.000906205260658,6.256818771362305
1.623963213000692E9,38.59485829760889,-92.16454554913427,527.2004103142866,-1.0,0.020690273556056394,,,6.000906205260658,6.683672904968262
1.62396321400069E9,38.59485705740831,-92.16454469759145,525.9048462641218,-1.0,0.07084299827485446,,,6.000906205260658,6.554006099700928
1.623963215000689E9,38.59485600742597,-92.16454355593409,524.6071517076552,-1.0,0.04701447138215622,,,6.000906205260658,6.53031063079834
