Time (EDT) 	Latitude 	Longitude 	Course 	kts 	mph 	feet 	Rate 	Reporting Facility
Thu 03:09:10 PM 	38.3205 	-92.2098 	↓ 162° 	97 	112 	3,955 	88 Climbing 	FlightAware ADS-B (KAIZ)
Thu 03:09:27 PM 	38.3186 	-92.2014 	→ 85° 	92 	106 	4,030 	71 Climbing 	FlightAware ADS-B (KVER)
Thu 03:09:52 PM 	38.3189 	-92.1875 	→ 88° 	90 	104 	4,005 	-70 Descending 	FlightAware ADS-B (KVER)
Thu 03:10:10 PM 	38.3194 	-92.1786 	→ 80° 	88 	101 	3,980 	-125 Descending 	FlightAware ADS-B (KCOU)
Thu 03:10:28 PM 	38.3252 	-92.1782 	← 292° 	106 	122 	3,930 	-81 Descending 	FlightAware ADS-B (KDMO)
Thu 03:10:47 PM 	38.3194 	-92.1826 	↓ 160° 	100 	115 	3,930 	71 Climbing 	FlightAware ADS-B (KDMO)
Thu 03:11:10 PM 	38.3188 	-92.1708 	→ 83° 	95 	109 	3,980 	102 Climbing 	FlightAware ADS-B (KVER)
Thu 03:11:31 PM 	38.3196 	-92.1592 	→ 85° 	94 	108 	4,005 	-220 Descending 	FlightAware ADS-B (KTBN)
Thu 03:11:51 PM 	38.3150 	-92.1539 	↙ 229° 	109 	125 	3,830 	-203 Descending 	FlightAware ADS-B (KCOU)
Thu 03:12:08 PM 	38.3175 	-92.1612 	↑ 353° 	94 	108 	3,880 	 Level 	FlightAware ADS-B (KAIZ)
Thu 03:12:30 PM 	38.3214 	-92.1506 	→ 90° 	100 	115 	3,830 	-110 Descending 	FlightAware ADS-B (KVER)
Thu 03:12:49 PM 	38.3215 	-92.1403 	→ 88° 	93 	107 	3,805 	73 Climbing 	FlightAware ADS-B (KTBN)
Thu 03:13:11 PM 	38.3219 	-92.1296 	→ 89° 	86 	99 	3,880 	-38 Descending 	FlightAware ADS-B (KCOU)
Thu 03:13:28 PM 	38.3165 	-92.1254 	↓ 194° 	105 	121 	3,780 	-125 Descending 	FlightAware ADS-B (KVER)
Thu 03:13:47 PM 	38.3185 	-92.1342 	↖ 334° 	98 	113 	3,805 	 Level 	FlightAware ADS-B (KCOU)
Thu 03:14:05 PM 	38.3224 	-92.1266 	→ 88° 	97 	112 	3,780 	 Level 	FlightAware ADS-B (KTBN)
Thu 03:14:34 PM 	38.3224 	-92.1103 	→ 89° 	96 	110 	3,805 	63 Climbing 	FlightAware ADS-B (KDMO)
Thu 03:14:53 PM 	38.3231 	-92.0996 	→ 88° 	93 	107 	3,830 	162 Climbing 	FlightAware ADS-B (KDMO)
Thu 03:15:11 PM 	38.3219 	-92.0907 	↘ 146° 	107 	123 	3,905 	 Level 	FlightAware ADS-B (KCOU)
Thu 03:15:30 PM 	38.3159 	-92.0961 	← 274° 	96 	110 	3,830 	-115 Descending 	FlightAware ADS-B (KDMO)
Thu 03:15:50 PM 	38.3223 	-92.1003 	↗ 35° 	95 	109 	3,830 	83 Climbing 	FlightAware ADS-B (KDMO)
Thu 03:16:06 PM 	38.3223 	-92.0928 	↘ 139° 	99 	114 	3,880 	94 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:16:22 PM 	38.3167 	-92.0960 	← 265° 	99 	114 	3,880 	-42 Descending 	FlightAware ADS-B (KTBN)
Thu 03:16:42 PM 	38.3224 	-92.0999 	↗ 39° 	95 	109 	3,855 	167 Climbing 	FlightAware ADS-B (KCOU)
Thu 03:17:07 PM 	38.3239 	-92.0865 	→ 88° 	90 	104 	4,005 	179 Climbing 	FlightAware ADS-B (KDMO)
Thu 03:17:24 PM 	38.3237 	-92.0761 	→ 95° 	97 	112 	3,980 	-44 Descending 	FlightAware ADS-B (KTBN)
Thu 03:17:41 PM 	38.3233 	-92.0667 	→ 93° 	96 	110 	3,980 	-41 Descending 	FlightAware ADS-B (KVER)
Thu 03:18:01 PM 	38.3267 	-92.0587 	↑ 358° 	95 	109 	3,955 	-42 Descending 	FlightAware ADS-B (KTBN)
Thu 03:18:17 PM 	38.3332 	-92.0618 	↑ 341° 	93 	107 	3,955 	136 Climbing 	FlightAware ADS-B (KDMO)
Thu 03:18:34 PM 	38.3400 	-92.0649 	↖ 337° 	90 	104 	4,030 	150 Climbing 	FlightAware ADS-B (KTBN)
Thu 03:18:57 PM 	38.3492 	-92.0700 	↖ 335° 	94 	108 	4,055 	110 Climbing 	FlightAware ADS-B (KTBN)
Thu 03:19:15 PM 	38.3558 	-92.0742 	↑ 342° 	94 	108 	4,105 	176 Climbing 	FlightAware ADS-B (KMHL)
Thu 03:19:31 PM 	38.3622 	-92.0764 	↑ 349° 	92 	106 	4,155 	88 Climbing 	FlightAware ADS-B (KMHL)
Thu 03:19:49 PM 	38.3697 	-92.0789 	↑ 343° 	94 	108 	4,155 	43 Climbing 	FlightAware ADS-B (KSZL)
Thu 03:20:06 PM 	38.3766 	-92.0817 	↑ 341° 	91 	105 	4,180 	 Level 	FlightAware ADS-B (KMHL)
Thu 03:20:31 PM 	38.3872 	-92.0858 	↑ 346° 	97 	112 	4,155 	-100 Descending 	FlightAware ADS-B (KTBN)
Thu 03:20:51 PM 	38.3964 	-92.0878 	↑ 349° 	97 	112 	4,105 	-192 Descending 	FlightAware ADS-B (KDMO)
Thu 03:21:10 PM 	38.4045 	-92.0901 	↑ 348° 	101 	116 	4,030 	-107 Descending 	FlightAware ADS-B (KMHL)
Thu 03:21:33 PM 	38.4149 	-92.0929 	↑ 348° 	101 	116 	4,030 	-83 Descending 	FlightAware ADS-B (KDMO)
Thu 03:22:04 PM 	38.4287 	-92.0978 	↑ 345° 	102 	117 	3,955 	-125 Descending 	FlightAware ADS-B (KTBN)
Thu 03:22:21 PM 	38.4364 	-92.1004 	↑ 345° 	100 	115 	3,930 	-474 Descending 	FlightAware ADS-B (KVER)
Thu 03:22:42 PM 	38.4461 	-92.1024 	↑ 353° 	107 	123 	3,655 	-649 Descending 	FlightAware ADS-B (KDMO)
Thu 03:22:58 PM 	38.4534 	-92.1041 	↑ 352° 	103 	119 	3,530 	-500 Descending 	FlightAware ADS-B (KDMO)
Thu 03:23:15 PM 	38.4618 	-92.1055 	↑ 355° 	105 	121 	3,380 	-636 Descending 	FlightAware ADS-B (KVER)
Thu 03:23:38 PM 	38.4727 	-92.1071 	↑ 352° 	104 	120 	3,106 	-674 Descending 	FlightAware ADS-B (KCOU)
Thu 03:23:55 PM 	38.4811 	-92.1091 	↑ 348° 	99 	114 	2,931 	-768 Descending 	FlightAware ADS-B (KVER)
Thu 03:24:19 PM 	38.4912 	-92.1123 	↑ 348° 	94 	108 	2,581 	-900 Descending 	FlightAware ADS-B (KJEF)
Thu 03:24:40 PM 	38.5007 	-92.1152 	↑ 343° 	97 	112 	2,256 	-900 Descending 	FlightAware ADS-B (KDMO)
Thu 03:24:59 PM 	38.5080 	-92.1183 	↑ 341° 	96 	110 	1,981 	-729 Descending 	FlightAware ADS-B (KJEF)
Thu 03:25:15 PM 	38.5149 	-92.1217 	↑ 343° 	93 	107 	1,831 	-654 Descending 	FlightAware ADS-B (KVER)
Thu 03:25:38 PM 	38.5238 	-92.1252 	↑ 340° 	93 	107 	1,556 	-163 Descending 	FlightAware ADS-B (KJEF)
Thu 03:30:00 PM 	38.5989 	-92.1703 	← 298° 	81 	93 	1,056 	-52 Descending 	FlightAware ADS-B (KJEF)
Thu 03:30:25 PM 	38.5941 	-92.1798 	↙ 213° 	80 	92 	1,306 	571 Climbing 	FlightAware ADS-B (KJEF)
