Time (CDT) 	Latitude 	Longitude 	Course 	kts 	feet 	Rate 	Reporting Facility
Tue 18:21:17    Departure (KJEF) @ Tuesday 18:21:17 CDT
		FlightAware
Tue 18:59:04 	38.6861 	-92.3344 	↘ 115° 	100 	1,500 	 Level 	FlightAware ADS-B (KVER)
Tue 18:59:20 	38.6871 	-92.3260 	↗ 46° 	98 	1,500 	 Level 	FlightAware ADS-B (KVER)
Tue 18:59:40 	38.6954 	-92.3247 	↖ 329° 	98 	1,500 	 Level 	FlightAware ADS-B (KVER)
Tue 19:00:00 	38.6978 	-92.3351 	← 246° 	100 	1,500 	 Level 	FlightAware ADS-B (KVER)
Tue 19:00:17 	38.6912 	-92.3395 	↓ 174° 	106 	1,500 	128 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:00:47 	38.6767 	-92.3395 	↓ 196° 	104 	1,600 	128 Climbing 	FlightAware ADS-B (KVER)
Tue 19:01:04 	38.6690 	-92.3400 	↘ 150° 	107 	1,600 	-162 Descending 	FlightAware ADS-B (KCOU)
Tue 19:01:24 	38.6692 	-92.3296 	↗ 26° 	107 	1,500 	-167 Descending 	FlightAware ADS-B (KCOU)
Tue 19:01:40 	38.6765 	-92.3291 	↑ 1° 	95 	1,500 	-188 Descending 	FlightAware ADS-B (KCOU)
Tue 19:01:56 	38.6836 	-92.3278 	↗ 32° 	103 	1,400 	-333 Descending 	FlightAware ADS-B (KVER)
Tue 19:02:16 	38.6835 	-92.3175 	↘ 148° 	107 	1,300 	-167 Descending 	FlightAware ADS-B (KCOU)
Tue 19:02:32 	38.6768 	-92.3156 	↘ 149° 	100 	1,300 	 Level 	FlightAware ADS-B (KVER)
Tue 19:02:51 	38.6765 	-92.3065 	↗ 27° 	93 	1,300 	 Level 	FlightAware ADS-B (KVER)
Tue 19:03:09 	38.6843 	-92.3053 	↑ 2° 	92 	1,300 	316 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:03:29 	38.6902 	-92.3097 	← 280° 	82 	1,500 	486 Climbing 	FlightAware ADS-B (KVER)
Tue 19:03:46 	38.6872 	-92.3170 	↙ 211° 	97 	1,600 	176 Climbing 	FlightAware ADS-B (KCOU)
