Time (CDT) 	Latitude 	Longitude 	Course 	kts 	feet 	Rate 	Reporting Facility
Tue 18:21:17    Departure (KJEF) @ Tuesday 18:21:17 CDT
		FlightAware
Tue 19:34:26 	38.5956 	-92.1804 	↙ 215° 	78 	1,400 	563 Climbing 	FlightAware ADS-B (KVER)
Tue 19:34:42 	38.5904 	-92.1835 	↓ 179° 	84 	1,500 	375 Climbing 	FlightAware ADS-B (KJEF)
Tue 19:34:58 	38.5848 	-92.1784 	↘ 127° 	93 	1,600 	182 Climbing 	FlightAware ADS-B (KJEF)
Tue 19:35:15 	38.5807 	-92.1704 	↘ 121° 	100 	1,600 	171 Climbing 	FlightAware ADS-B (KVER)
Tue 19:35:33 	38.5767 	-92.1613 	↘ 118° 	99 	1,700 	 Level 	FlightAware ADS-B (KCOU)
Tue 19:35:51 	38.5729 	-92.1517 	↘ 116° 	90 	1,600 	-353 Descending 	FlightAware ADS-B (KJEF)
Tue 19:36:07 	38.5700 	-92.1449 	↘ 119° 	82 	1,500 	-529 Descending 	FlightAware ADS-B (KCOU)
Tue 19:36:25 	38.5675 	-92.1373 	↘ 119° 	84 	1,300 	-141 Descending 	FlightAware ADS-B (KJEF)
Tue 19:38:57 	38.6009 	-92.1750 	← 278° 	76 	1,100 	 Level 	FlightAware ADS-B (KJEF)
Tue 19:39:14 	38.5973 	-92.1812 	↙ 212° 	82 	1,300 	706 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:39:31 	38.5913 	-92.1850 	↓ 189° 	82 	1,500 	364 Climbing 	FlightAware ADS-B (KJEF)
Tue 19:39:47 	38.5860 	-92.1814 	↘ 132° 	95 	1,500 	 Level 	FlightAware ADS-B (KJEF)
Tue 19:40:06 	38.5809 	-92.1721 	↘ 121° 	98 	1,500 	171 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:40:22 	38.5773 	-92.1644 	↘ 120° 	96 	1,600 	 Level 	FlightAware ADS-B (KJEF)
Tue 19:40:43 	38.5724 	-92.1544 	↘ 122° 	91 	1,500 	-154 Descending 	FlightAware ADS-B (KVER)
Tue 19:41:01 	38.5690 	-92.1467 	↘ 120° 	84 	1,500 	-208 Descending 	FlightAware ADS-B (KVER)
Tue 19:43:36 	38.5969 	-92.1655 	← 306° 	82 	900 	-139 Descending 	FlightAware ADS-B (KJEF)
Tue 19:43:54 	38.5997 	-92.1729 	← 252° 	85 	1,100 	316 Climbing 	FlightAware ADS-B (KJEF)
Tue 19:44:14 	38.5932 	-92.1796 	↙ 208° 	97 	1,100 	167 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:44:30 	38.5869 	-92.1788 	↘ 151° 	99 	1,200 	333 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:44:50 	38.5818 	-92.1688 	↘ 122° 	101 	1,300 	158 Climbing 	FlightAware ADS-B (KJEF)
Tue 19:45:08 	38.5774 	-92.1596 	↘ 120° 	100 	1,300 	-143 Descending 	FlightAware ADS-B (KVER)
Tue 19:45:32 	38.5759 	-92.1487 	↗ 54° 	84 	1,200 	-90 Descending 	FlightAware ADS-B (KJEF)
Tue 19:47:22 	38.5997 	-92.1717 	← 303° 	76 	1,100 	47 Climbing 	FlightAware ADS-B (KJEF)
Tue 19:47:39 	38.5973 	-92.1781 	↙ 209° 	82 	1,300 	727 Climbing 	FlightAware ADS-B (KVER)
Tue 19:47:55 	38.5923 	-92.1812 	↙ 201° 	80 	1,500 	563 Climbing 	FlightAware ADS-B (KJEF)
Tue 19:48:11 	38.5861 	-92.1785 	↘ 135° 	90 	1,600 	188 Climbing 	FlightAware ADS-B (KVER)
Tue 19:48:27 	38.5822 	-92.1723 	↘ 127° 	91 	1,600 	 Level 	FlightAware ADS-B (KJEF)
Tue 19:48:43 	38.5784 	-92.1651 	↘ 123° 	90 	1,600 	 Level 	FlightAware ADS-B (KJEF)
Tue 19:49:01 	38.5741 	-92.1568 	↘ 123° 	89 	1,600 	 Level 	FlightAware ADS-B (KVER)
Tue 19:49:19 	38.5707 	-92.1488 	↘ 118° 	83 	1,600 	-343 Descending 	FlightAware ADS-B (KCOU)
Tue 19:49:36 	38.5676 	-92.1417 	↘ 119° 	82 	1,400 	-667 Descending 	FlightAware ADS-B (KVER)
Tue 19:50:04 	38.5727 	-92.1313 	→ 109° 	82 	1,100 	-110 Descending 	FlightAware ADS-B (KJEF)
Tue 19:52:20 	38.5994 	-92.1729 	← 274° 	76 	1,100 	116 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:52:39 	38.5948 	-92.1787 	↙ 210° 	81 	1,400 	686 Climbing 	FlightAware ADS-B (KVER)
Tue 19:52:55 	38.5889 	-92.1809 	↓ 168° 	84 	1,500 	343 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:53:14 	38.5833 	-92.1732 	↘ 125° 	95 	1,600 	293 Climbing 	FlightAware ADS-B (KVER)
Tue 19:53:36 	38.5784 	-92.1635 	↘ 123° 	91 	1,700 	154 Climbing 	FlightAware ADS-B (KCOU)
Tue 19:53:53 	38.5742 	-92.1554 	↘ 124° 	89 	1,700 	-324 Descending 	FlightAware ADS-B (KVER)
Tue 19:54:13 	38.5703 	-92.1472 	↘ 119° 	81 	1,500 	-324 Descending 	FlightAware ADS-B (KVER)
Tue 19:54:30 	38.5675 	-92.1402 	↘ 117° 	80 	1,500 	-316 Descending 	FlightAware ADS-B (KVER)
Tue 19:54:51    Arrival (KJEF) @ Tuesday 19:54:51 CDT
		FlightAware
Tue 19:54:51 	38.5704 	-92.1316 	↗ 23° 	89 	1,300 	-571 Descending 	FlightAware ADS-B (KJEF) 
