Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Tue 18:37:59    Departure (KJEF) @ Tuesday 18:37:59 CDT		 FlightAware
Tue 19:25:24	38.6122	-92.1617	← 309°	88	1,300	-439 Descending	 FlightAware ADS-B (KCOU)
Tue 19:25:44	38.6161	-92.1703	← 270°	87	1,100	-474 Descending	 FlightAware ADS-B (KCOU)
Tue 19:26:02	38.6116	-92.1766	↙ 218°	78	1,000	-308 Descending	 FlightAware ADS-B (KVER)
Tue 19:26:23	38.6056	-92.1809	↙ 215°	72	900	98 Climbing	 FlightAware ADS-B (KCOU)
Tue 19:29:05	38.5940	-92.1303	← 312°	94	1,300	160 Climbing	 FlightAware ADS-B (KCOU)
Tue 19:29:30	38.6016	-92.1435	← 307°	104	1,400	 Level	 FlightAware ADS-B (KJEF)
Tue 19:29:57	38.6092	-92.1558	← 310°	97	1,300	-316 Descending	 FlightAware ADS-B (KCOU)
Tue 19:30:27	38.6158	-92.1684	← 306°	85	1,100	-490 Descending	 FlightAware ADS-B (KCOU)
Tue 19:30:46	38.6118	-92.1761	↙ 218°	74	900	62 Climbing	 FlightAware ADS-B (KVER)
Tue 19:33:40	38.5929	-92.1313	↑ 3°	88	1,300	126 Climbing	 FlightAware ADS-B (KCOU)
Tue 19:33:56	38.5981	-92.1367	← 308°	102	1,300	 Level	 FlightAware ADS-B (KCOU)
Tue 19:34:14	38.6039	-92.1464	← 308°	103	1,300	 Level	 FlightAware ADS-B (KJEF)
Tue 19:34:32	38.6087	-92.1543	← 308°	103	1,300	-140 Descending	 FlightAware ADS-B (KCOU)
Tue 19:34:57	38.6152	-92.1646	← 310°	89	1,200	-235 Descending	 FlightAware ADS-B (KCOU)
Tue 19:35:23	38.6119	-92.1753	↙ 231°	85	1,100	-279 Descending	 FlightAware ADS-B (KVER)
Tue 19:35:40	38.6082	-92.1800	↙ 223°	67	1,000	63 Climbing	 FlightAware ADS-B (KVER)
Tue 19:38:34	38.5945	-92.1329	← 308°	98	1,300	125 Climbing	 FlightAware ADS-B (KCOU)
Tue 19:38:52	38.6000	-92.1421	← 307°	103	1,400	171 Climbing	 FlightAware ADS-B (KDMO)
Tue 19:39:09	38.6049	-92.1506	← 306°	108	1,400	-167 Descending	 FlightAware ADS-B (KDMO)
