Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Thu 08:40:24    Departure (KJEF) @ Thursday 08:40:24 CDT		 FlightAware
Thu 08:40:24	38.5938	-92.1297	↖ 326°	93	1,606	 Level	 FlightAware ADS-B (KJEF)
Thu 08:40:40	38.5985	-92.1351	↖ 317°	92	1,756	243 Climbing	 FlightAware ADS-B (KCOU)
Thu 08:41:01	38.6053	-92.1437	← 314°	97	1,756	81 Climbing	 FlightAware ADS-B (KCOU)
Thu 08:41:17	38.6100	-92.1500	← 315°	96	1,806	 Level	 FlightAware ADS-B (KVER)
Thu 08:41:33	38.6152	-92.1561	↖ 316°	88	1,756	-281 Descending	 FlightAware ADS-B (KJEF)
Thu 08:41:49	38.6195	-92.1623	← 307°	86	1,656	-441 Descending	 FlightAware ADS-B (KJEF)
Thu 08:42:07	38.6228	-92.1698	← 277°	79	1,506	-441 Descending	 FlightAware ADS-B (KCOU)
Thu 08:42:23	38.6200	-92.1752	↙ 216°	64	1,406	-405 Descending	 FlightAware ADS-B (KJEF)
Thu 08:42:44	38.6150	-92.1799	↙ 214°	66	1,256	-476 Descending	 FlightAware ADS-B (KJEF)
Thu 08:43:04	38.6095	-92.1841	↙ 206°	67	1,081	-458 Descending	 FlightAware ADS-B (KJEF)
Thu 08:43:20	38.6054	-92.1822	↘ 127°	69	981	-516 Descending	 FlightAware ADS-B (KJEF)
Thu 08:43:36	38.6024	-92.1770	↘ 126°	72	806	-455 Descending	 FlightAware ADS-B (KJEF)
Thu 08:43:53	38.5993	-92.1710	↘ 123°	66	731	281 Climbing	 FlightAware ADS-B (KJEF)
Thu 08:45:55	38.5867	-92.1273	↗ 27°	98	1,456	361 Climbing	 Surface and Near-Surface
Thu 08:47:04	38.6086	-92.1496	↖ 318°	98	1,881	241 Climbing	 FlightAware ADS-B (KVER)
Thu 08:47:22	38.6150	-92.1566	↖ 317°	91	1,806	-333 Descending	 FlightAware ADS-B (KJEF)
Thu 08:47:40	38.6192	-92.1631	← 303°	83	1,681	-441 Descending	 FlightAware ADS-B (KCOU)
Thu 08:47:56	38.6223	-92.1697	← 298°	82	1,556	-591 Descending	 FlightAware ADS-B (KCOU)
Thu 08:48:13	38.6219	-92.1768	↙ 224°	69	1,356	-591 Descending	 FlightAware ADS-B (KJEF)
Thu 08:48:29	38.6181	-92.1812	↙ 220°	67	1,231	-455 Descending	 FlightAware ADS-B (KJEF)
Thu 08:48:46	38.6143	-92.1851	↙ 217°	68	1,106	-409 Descending	 FlightAware ADS-B (KJEF)
Thu 08:49:02	38.6097	-92.1863	↓ 161°	66	1,006	-422 Descending	 FlightAware ADS-B (KJEF)
Thu 08:49:18	38.6057	-92.1824	↘ 137°	72	881	-281 Descending	 FlightAware ADS-B (KJEF)
Thu 08:49:34	38.6024	-92.1771	↘ 132°	72	856	-527 Descending	 FlightAware ADS-B (KJEF)
Thu 08:49:50	38.5996	-92.1718	↘ 121°	68	600	232 Climbing	 FlightAware ADS-B (KJEF)
Thu 08:51:50	38.5859	-92.1272	↗ 31°	100	1,381	333 Climbing	 Surface and Near-Surface
Thu 08:52:50	38.6056	-92.1464	← 308°	98	1,600	164 Climbing	 FlightAware ADS-B (KCOU)
Thu 08:53:10	38.6114	-92.1559	← 308°	102	1,600	-333 Descending	 FlightAware ADS-B (KCOU)
Thu 08:53:26	38.6155	-92.1628	← 294°	90	1,400	-857 Descending	 FlightAware ADS-B (KCOU)
Thu 08:53:45	38.6127	-92.1696	↓ 189°	73	1,100	-857 Descending	 FlightAware ADS-B (KJEF)
Thu 08:54:01	38.6072	-92.1699	↓ 182°	73	900	-750 Descending	 FlightAware ADS-B (KJEF)
Thu 08:54:17	38.6023	-92.1694	↓ 163°	69	700	271 Climbing	 FlightAware ADS-B (KJEF)
Thu 08:56:36	38.5961	-92.1323	← 315°	91	1,600	338 Climbing	 FlightAware ADS-B (KJEF)
