Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Thu 08:56:57	38.6019	-92.1406	← 311°	97	1,600	158 Climbing	 FlightAware ADS-B (KCOU)
Thu 08:57:14	38.6070	-92.1476	← 313°	98	1,700	 Level	 FlightAware ADS-B (KJEF)
Thu 08:57:34	38.6131	-92.1559	← 312°	91	1,600	-316 Descending	 FlightAware ADS-B (KVER)
Thu 08:57:52	38.6175	-92.1638	← 303°	86	1,500	-324 Descending	 FlightAware ADS-B (KVER)
Thu 08:58:11	38.6207	-92.1716	← 280°	77	1,400	-439 Descending	 FlightAware ADS-B (KCOU)
Thu 08:58:33	38.6168	-92.1795	↙ 221°	70	1,200	-585 Descending	 FlightAware ADS-B (KJEF)
Thu 08:58:52	38.6117	-92.1837	↙ 204°	68	1,000	-514 Descending	 FlightAware ADS-B (KJEF)
Thu 08:59:08	38.6068	-92.1847	↘ 151°	72	900	-375 Descending	 FlightAware ADS-B (KJEF)
Thu 08:59:40	38.6006	-92.1734	↘ 121°	71	700	204 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:01:37	38.5866	-92.1300	↗ 33°	98	1,406	319 Climbing	 Surface and Near-Surface
Thu 09:02:48	38.6104	-92.1510	↖ 316°	99	1,700	198 Climbing	 FlightAware ADS-B (KCOU)
Thu 09:03:06	38.6163	-92.1591	← 309°	100	1,700	-171 Descending	 FlightAware ADS-B (KJEF)
Thu 09:03:23	38.6207	-92.1666	← 307°	92	1,600	-364 Descending	 FlightAware ADS-B (KVER)
Thu 09:03:39	38.6227	-92.1741	← 258°	76	1,500	-364 Descending	 FlightAware ADS-B (KJEF)
Thu 09:03:56	38.6200	-92.1800	↙ 227°	66	1,400	-529 Descending	 FlightAware ADS-B (KVER)
Thu 09:04:13	38.6157	-92.1841	↙ 212°	62	1,200	-514 Descending	 FlightAware ADS-B (KCOU)
Thu 09:04:31	38.6106	-92.1870	↓ 193°	63	1,100	-500 Descending	 FlightAware ADS-B (KJEF)
Thu 09:04:49	38.6061	-92.1837	↘ 129°	70	900	-486 Descending	 FlightAware ADS-B (KJEF)
Thu 09:05:08	38.6025	-92.1774	↘ 127°	70	800	-462 Descending	 FlightAware ADS-B (KJEF)
Thu 09:05:28	38.5992	-92.1710	↘ 122°	64	600	273 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:07:42	38.5928	-92.1292	↖ 322°	95	1,500	392 Climbing	 FlightAware ADS-B (KCOU)
Thu 09:08:01	38.5988	-92.1370	← 311°	101	1,600	154 Climbing	 FlightAware ADS-B (KCOU)
Thu 09:08:21	38.6056	-92.1463	← 313°	103	1,600	-150 Descending	 FlightAware ADS-B (KJEF)
Thu 09:08:41	38.6117	-92.1552	← 311°	100	1,500	-333 Descending	 FlightAware ADS-B (KVER)
Thu 09:08:57	38.6160	-92.1619	← 307°	93	1,400	-353 Descending	 FlightAware ADS-B (KJEF)
Thu 09:09:15	38.6199	-92.1704	← 279°	88	1,300	-474 Descending	 FlightAware ADS-B (KJEF)
Thu 09:09:35	38.6168	-92.1787	↙ 224°	73	1,100	-450 Descending	 FlightAware ADS-B (KJEF)
Thu 09:09:55	38.6121	-92.1843	↙ 221°	67	1,000	-333 Descending	 FlightAware ADS-B (KJEF)
Thu 09:10:11	38.6077	-92.1856	↘ 142°	65	900	-375 Descending	 FlightAware ADS-B (KJEF)
Thu 09:10:27	38.6045	-92.1808	↘ 128°	68	800	-474 Descending	 FlightAware ADS-B (KJEF)
Thu 09:10:49	38.6006	-92.1736	↘ 124°	63	600	253 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:13:13	38.5932	-92.1290	↖ 320°	94	1,500	373 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:13:30	38.5983	-92.1354	← 311°	99	1,600	333 Climbing	 FlightAware ADS-B (KCOU)
Thu 09:13:49	38.6044	-92.1444	← 311°	99	1,700	167 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:14:06	38.6094	-92.1517	← 310°	102	1,700	-182 Descending	 FlightAware ADS-B (KVER)
Thu 09:14:22	38.6137	-92.1582	← 310°	92	1,600	-364 Descending	 FlightAware ADS-B (KVER)
Thu 09:14:39	38.6183	-92.1655	← 308°	88	1,500	-486 Descending	 FlightAware ADS-B (KCOU)
Thu 09:14:59	38.6209	-92.1739	↙ 243°	76	1,300	-450 Descending	 FlightAware ADS-B (KCOU)
Thu 09:15:19	38.6155	-92.1800	↙ 217°	69	1,200	-462 Descending	 FlightAware ADS-B (KJEF)
Thu 09:15:38	38.6106	-92.1843	↙ 212°	66	1,000	-500 Descending	 FlightAware ADS-B (KJEF)
Thu 09:15:55	38.6058	-92.1843	↘ 128°	71	900	-343 Descending	 FlightAware ADS-B (KJEF)
Thu 09:16:13	38.6027	-92.1780	↘ 122°	75	800	-293 Descending	 FlightAware ADS-B (KJEF)
Thu 09:16:36	38.5990	-92.1700	↘ 120°	64	700	111 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:17:07	38.5921	-92.1566	↘ 121°	84	900	566 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:17:29	38.5878	-92.1458	→ 91°	92	1,200	692 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:17:59	38.5991	-92.1397	↖ 325°	102	1,500	462 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:18:21	38.6064	-92.1486	← 312°	101	1,600	158 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:18:37	38.6138	-92.1500	↗ 36°	121	1,600	 Level	 FlightAware ADS-B (KJEF)
Thu 09:18:54	38.6157	-92.1411	↘ 116°	93	1,600	 Level	 FlightAware ADS-B (KCOU)
Thu 09:19:11	38.6103	-92.1374	↓ 182°	79	1,600	 Level	 FlightAware ADS-B (KVER)
Thu 09:19:31	38.6061	-92.1452	↙ 240°	81	1,600	 Level	 FlightAware ADS-B (KJEF)
Thu 09:19:49	38.6109	-92.1536	← 313°	101	1,600	-176 Descending	 FlightAware ADS-B (KVER)
Thu 09:20:05	38.6155	-92.1598	← 312°	93	1,500	-686 Descending	 FlightAware ADS-B (KVER)
Thu 09:20:24	38.6150	-92.1689	↙ 228°	85	1,200	-632 Descending	 FlightAware ADS-B (KJEF)
Thu 09:20:43	38.6105	-92.1749	↙ 224°	69	1,100	-514 Descending	 FlightAware ADS-B (KJEF)
Thu 09:20:59	38.6065	-92.1785	↓ 192°	70	900	-615 Descending	 FlightAware ADS-B (KJEF)
Thu 09:21:22	38.6003	-92.1725	↘ 127°	72	700	214 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:23:47	38.5961	-92.1326	↖ 316°	95	1,500	327 Climbing	 FlightAware ADS-B (KCOU)
Thu 09:24:07	38.6026	-92.1405	← 315°	102	1,600	167 Climbing	 FlightAware ADS-B (KVER)
Thu 09:24:23	38.6081	-92.1477	← 312°	103	1,600	 Level	 FlightAware ADS-B (KJEF)
Thu 09:24:47	38.6158	-92.1582	← 312°	91	1,600	-150 Descending	 FlightAware ADS-B (KJEF)
Thu 09:25:03	38.6196	-92.1647	← 303°	85	1,500	-364 Descending	 FlightAware ADS-B (KJEF)
Thu 09:25:20	38.6225	-92.1718	← 277°	78	1,400	-649 Descending	 FlightAware ADS-B (KCOU)
Thu 09:25:40	38.6183	-92.1787	↙ 225°	74	1,100	-486 Descending	 FlightAware ADS-B (KJEF)
Thu 09:25:57	38.6142	-92.1831	↙ 221°	65	1,100	-364 Descending	 FlightAware ADS-B (KJEF)
Thu 09:26:13	38.6099	-92.1863	↓ 181°	64	900	-563 Descending	 FlightAware ADS-B (KJEF)
Thu 09:26:29	38.6060	-92.1829	↘ 129°	68	800	-346 Descending	 FlightAware ADS-B (KJEF)
Thu 09:27:05	38.5995	-92.1713	↘ 129°	67	600	164 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:28:48	38.5899	-92.1361	↗ 30°	95	1,181	303 Climbing	 Surface and Near-Surface
Thu 09:30:03	38.6145	-92.1604	← 310°	87	1,500	74 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:30:24	38.6188	-92.1693	← 270°	78	1,300	-571 Descending	 FlightAware ADS-B (KJEF)
Thu 09:30:45	38.6143	-92.1760	↙ 220°	68	1,100	-600 Descending	 FlightAware ADS-B (KJEF)
Thu 09:31:04	38.6095	-92.1804	↙ 212°	67	900	-500 Descending	 FlightAware ADS-B (KJEF)
Thu 09:31:21	38.6050	-92.1810	↘ 147°	64	800	157 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:33:37	38.5893	-92.1332	↗ 29°	100	1,300	271 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:33:56	38.5971	-92.1348	↖ 318°	95	1,500	343 Climbing	 FlightAware ADS-B (KCOU)
Thu 09:34:12	38.6023	-92.1422	↖ 318°	96	1,500	 Level	 FlightAware ADS-B (KJEF)
Thu 09:34:32	38.6079	-92.1509	← 309°	102	1,500	 Level	 FlightAware ADS-B (KCOU)
Thu 09:34:48	38.6125	-92.1580	← 310°	92	1,500	-167 Descending	 FlightAware ADS-B (KVER)
Thu 09:35:08	38.6178	-92.1666	← 304°	89	1,400	-324 Descending	 FlightAware ADS-B (KJEF)
Thu 09:35:25	38.6207	-92.1740	← 265°	82	1,300	-343 Descending	 FlightAware ADS-B (KJEF)
Thu 09:35:43	38.6174	-92.1804	↙ 226°	62	1,200	-286 Descending	 FlightAware ADS-B (KVER)
Thu 09:36:07	38.6115	-92.1855	↙ 207°	59	1,100	-273 Descending	 FlightAware ADS-B (KJEF)
Thu 09:36:27	38.6063	-92.1835	↘ 128°	71	1,000	-419 Descending	 FlightAware ADS-B (KJEF)
Thu 09:36:50	38.6021	-92.1762	↘ 125°	67	800	-429 Descending	 FlightAware ADS-B (KJEF)
Thu 09:37:09	38.5991	-92.1703	↘ 123°	66	700	286 Climbing	 FlightAware ADS-B (KJEF)
Thu 09:39:17	38.5955	-92.1331	↖ 316°	96	1,500	300 Climbing	 FlightAware ADS-B (KCOU)
Thu 09:39:49	38.6054	-92.1472	← 311°	101	1,500	 Level	 FlightAware ADS-B (KCOU)
Thu 09:40:07	38.6112	-92.1561	← 310°	97	1,500	-171 Descending	 FlightAware ADS-B (KJEF)
Thu 09:40:24	38.6156	-92.1631	← 306°	87	1,400	-364 Descending	 FlightAware ADS-B (KJEF)
Thu 09:40:40	38.6180	-92.1697	← 270°	79	1,300	-343 Descending	 FlightAware ADS-B (KJEF)
Thu 09:40:59	38.6143	-92.1763	↙ 217°	67	1,200	-343 Descending	 FlightAware ADS-B (KJEF)
Thu 09:41:15	38.6103	-92.1802	↙ 216°	68	1,100	-343 Descending	 FlightAware ADS-B (KJEF)
Thu 09:41:34	38.6048	-92.1820	↘ 144°	67	1,000	-419 Descending	 FlightAware ADS-B (KJEF)
Thu 09:41:58    Arrival (KJEF) @ Thursday 09:41:58 CDT		 FlightAware
Thu 09:41:58	38.6006	-92.1734	↘ 119°	73	800	-500 Descending	 FlightAware ADS-B (KJEF)
